fullname,fullcode,latitude,longitude,area_code
"Bridgeport, CT",LAUMT097195000000003,41.1670412,-73.2048347,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
"Danbury, CT",LAUMT097285000000003,41.394817,-73.454011,"Danbury, CT Metropolitan NECTA"
"Hartford, CT",LAUMT097345000000003,41.7634935,-72.6830522,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
"New Haven, CT",LAUMT097570000000003,41.3082138,-72.9250517,"New Haven, CT Metropolitan NECTA"
"Norwich, CT",LAUMT097645000000003,41.5242649,-72.0759104,"Norwich-New London-Westerly, CT-RI Metropolitan NECTA"
"Waterbury, CT",LAUMT097870000000003,41.558152,-73.051496,"Waterbury, CT Metropolitan NECTA"
"Bangor, ME",LAUMT237075000000003,44.8011821,-68.7778137,"Bangor, ME Metropolitan NECTA"
"Lewiston, ME",LAUMT237465000000003,44.100351,-70.2147763,"Lewiston-Auburn, ME Metropolitan NECTA"
"Portland, ME",LAUMT237675000000003,43.6610277,-70.2548595,"Portland-South Portland, ME Metropolitan NECTA"
"Barnstable Town, MA",LAUMT257090000000003,41.65294365,-70.28299168,"Barnstable Town, MA Metropolitan NECTA"
"Boston, MA",LAUMT257165000000003,42.3604823,-71.0595677,"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA"
"Leominster, MA",LAUMT257450000000003,42.525091,-71.759794,"Leominster-Gardner, MA Metropolitan NECTA"
"New Bedford, MA",LAUMT257555000000003,41.636215,-70.934205,"New Bedford, MA Metropolitan NECTA"
"Pittsfield, MA",LAUMT257660000000003,42.4500967,-73.2453784,"Pittsfield, MA Metropolitan NECTA"
"Springfield, MA",LAUMT257810000000003,42.1014831,-72.5898109,"Springfield, MA-CT Metropolitan NECTA"
"Worcester, MA",LAUMT257960000000003,42.2625932,-71.8022933,"Worcester, MA-CT Metropolitan NECTA"
"Dover, NH",LAUMT337305000000003,43.197862,-70.87367,"Dover-Durham, NH-ME Metropolitan NECTA"
"Manchester, NH",LAUMT337495000000003,42.9956397,-71.454789,"Manchester, NH Metropolitan NECTA"
"Portsmouth, NH",LAUMT337690000000003,43.071755,-70.762553,"Portsmouth, NH-ME Metropolitan NECTA"
"Providence, RI",LAUMT447720000000003,41.8239891,-71.4128342,"Providence-Warwick, RI-MA Metropolitan NECTA"
"Burlington, VT",LAUMT507240000000003,44.4723989,-73.211494,"Burlington-South Burlington, VT Metropolitan NECTA"
"Abilene, TX",LAUMT481018000000003,32.4464534,-99.7333477,"Abilene, TX Metropolitan Statistical Area"
"Akron, OH",LAUMT391042000000003,41.0830643,-81.5184853,"Akron, OH Metropolitan Statistical Area"
"Albany, GA",LAUMT131050000000003,31.5782062,-84.1556808,"Albany, GA Metropolitan Statistical Area"
