date,DGDSRY,OTHSERV,SHELTER
1989-01-01,0.15,0.72,0.08
1989-04-01,0.57,0.32,-0.54
1989-07-01,1.46,0.46,0.21
1989-10-01,-0.33,0.47,0.37
1990-01-01,1.36,1.19,-0.35
1990-04-01,-1.09,0.87,-0.05
1990-07-01,-0.24,0.53,-0.56
1990-10-01,-1.58,-0.61,-0.82
1991-01-01,-0.87,-0.25,-0.75
1991-04-01,0.54,0.81,1.11
1991-07-01,0.58,0.34,0.64
1991-10-01,-1.07,0.71,0.34
1992-01-01,2.18,2.2,0.93
1992-04-01,0.5,0.53,0.98
1992-07-01,1.05,1.24,0.25
1992-10-01,1.27,1.12,1.08
1993-01-01,0.36,0.41,0.23
1993-04-01,1.52,0.7,0.32
1993-07-01,0.98,1.13,1.24
1993-10-01,1.22,0.69,1.19
1994-01-01,1.62,0.76,0.73
1994-04-01,0.86,0.59,1.04
1994-07-01,0.89,0.77,-0.09
1994-10-01,1.85,0.67,-0.02
1995-01-01,-0.47,0.82,-0.12
1995-04-01,0.65,0.94,0.11
1995-07-01,1.16,0.66,1.14
1995-10-01,0.9,0.75,0.41
1996-01-01,0.76,0.97,0.95
1996-04-01,1.87,0.82,0.87
1996-07-01,0.68,0.99,-0.15
1996-10-01,1.15,0.69,0.2
1997-01-01,1.27,1.66,0.22
1997-04-01,-0.07,0.92,0.65
1997-07-01,2.42,1.7,0.46
1997-10-01,1.27,1.09,0.84
1998-01-01,0.71,1.65,0.47
1998-04-01,2.4,1.4,1.21
1998-07-01,1.41,1.43,0.91
1998-10-01,2.85,0.79,0.41
1999-01-01,1.17,0.83,0.56
1999-04-01,2.23,1.07,0.76
1999-07-01,1.14,1.31,0.65
1999-10-01,1.67,2.15,0.17
2000-01-01,1.43,2.16,0.35
2000-04-01,0.53,1.42,0.55
2000-07-01,0.99,0.94,0.12
2000-10-01,0.83,0.51,0.77
2001-01-01,0.22,0.55,0.31
2001-04-01,0.25,0.28,0.22
2001-07-01,0.67,-0.08,0.3
2001-10-01,3.38,0.47,-0.18
2002-01-01,-0.17,1.02,0.47
2002-04-01,0.25,0.53,0.86
2002-07-01,1.16,0.27,0.25
2002-10-01,0.37,0.72,0.63
2003-01-01,0.51,0.66,0.44
2003-04-01,2.05,0.7,0.46
2003-07-01,2.68,1.21,1.32
2003-10-01,0.87,0.64,1.04
2004-01-01,1.08,0.94,0.57
2004-04-01,0.34,1.04,1.1
2004-07-01,1.34,1.31,0.49
2004-10-01,1.28,1.19,0.94
2005-01-01,0.74,0.55,1.1
2005-04-01,1.39,0.87,1.08
2005-07-01,0.91,1.05,0.86
2005-10-01,-0.21,0.52,0.06
2006-01-01,1.94,0.91,-0.35
2006-04-01,0.14,0.47,-0.79
2006-07-01,0.83,0.37,-1.06
2006-10-01,1.32,1.57,-1.32
2007-01-01,0.66,0.53,-0.7
2007-04-01,0.23,0.36,-0.79
2007-07-01,0.59,0.71,-1.15
2007-10-01,0.18,0.33,-1.64
2008-01-01,-1.55,0.17,-0.94
2008-04-01,-0.13,0.18,-0.64
2008-07-01,-1.93,-0.18,-0.86
2008-10-01,-2.68,-0.62,-0.75
2009-01-01,0.05,-0.51,-1.08
2009-04-01,-0.54,-0.31,-0.67
2009-07-01,1.55,0.19,0.59
2009-10-01,-0.47,-0.55,0.29
2010-01-01,0.65,0.55,-0.26
2010-04-01,1.2,0.84,0.56
2010-07-01,0.66,1.03,-0.62
2010-10-01,1.23,0.38,0.48
2011-01-01,0.45,0.59,-0.05
2011-04-01,-0.33,0.5,0.3
2011-07-01,0.03,0.29,0.51
2011-10-01,0.66,0.2,0.13
2012-01-01,1.15,1.23,0.2
2012-04-01,-0.01,-0.43,0.55
2012-07-01,0.4,-0.15,0.41
2012-10-01,0.64,0.52,0.31
2013-01-01,1.55,-0.07,0.64
2013-04-01,0.07,0.23,0.28
2013-07-01,0.64,0.48,0.17
2013-10-01,0.83,1.05,0.26
2014-01-01,0.57,0.05,0.35
2014-04-01,1.59,1.44,0.28
2014-07-01,1.02,1.85,0.22
2014-10-01,1.18,1.64,1.05
2015-01-01,0.97,0.98,0.8
2015-04-01,0.94,1.2,0.36
2015-07-01,0.97,0.6,0.66
2015-10-01,0.31,0.67,0.25
2016-01-01,0.88,1.09,0.7
2016-04-01,0.94,0.72,0.28
2016-07-01,0.84,0.3,0.17
2016-10-01,0.41,1.43,0.12
2017-01-01,0.68,1.07,0.3
2017-04-01,1.14,0.24,0.28
2017-07-01,0.85,0.77,-0.04
2017-10-01,1.55,1.22,0.7
2018-01-01,0.27,0.73,-0.16
2018-04-01,1.13,1.04,0.14
2018-07-01,0.75,1.39,-0.09
2018-10-01,0.33,0.12,-0.06
2019-01-01,0.32,0.99,-0.03
2019-04-01,1.74,1.12,0.03
2019-07-01,1.09,0.76,0.45
2019-10-01,0.12,1.23,0.29
