date,Employed,NILF,Unemployed,Population,Total
1990-01-01,1.09,0.26,0.16,2.52,1.51
1990-04-01,0.97,0.4,0.14,2.56,1.52
1990-07-01,0.55,0.66,0.32,2.58,1.53
1990-10-01,0.24,0.81,0.51,2.62,1.55
1991-01-01,-0.7,0.68,0.93,1.42,0.91
1991-04-01,-0.69,0.6,0.98,1.4,0.89
1991-07-01,-0.56,0.71,0.75,1.41,0.9
1991-10-01,-0.38,0.65,0.66,1.42,0.93
1992-01-01,0.08,0.25,0.63,1.43,0.96
1992-04-01,0.34,0.12,0.55,1.47,1.01
1992-07-01,0.57,-0.1,0.59,1.5,1.07
1992-10-01,0.62,0.25,0.24,1.52,1.1
1993-01-01,0.72,0.55,-0.14,1.54,1.12
1993-04-01,0.72,0.7,-0.33,1.51,1.09
1993-07-01,0.89,0.67,-0.5,1.45,1.05
1993-10-01,1.32,0.2,-0.5,1.41,1.02
1994-01-01,1.4,-0.03,-0.36,1.39,1.01
1994-04-01,1.3,0.22,-0.49,1.38,1.03
1994-07-01,1.4,0.05,-0.4,1.38,1.06
1994-10-01,1.69,-0.11,-0.51,1.36,1.07
1995-01-01,1.49,0.18,-0.69,1.2,0.98
1995-04-01,1.14,0.07,-0.24,1.15,0.97
1995-07-01,0.8,0.31,-0.14,1.11,0.97
1995-10-01,0.28,0.69,-0,1.07,0.97
1996-01-01,0.37,0.58,0.08,1.16,1.03
1996-04-01,0.8,0.33,-0.13,1.18,1.01
1996-07-01,1.07,0.14,-0.21,1.17,1
1996-10-01,1.3,-0.2,-0.11,1.16,0.98
1997-01-01,1.53,-0.18,-0.12,1.19,1.23
1997-04-01,1.46,0.08,-0.27,1.17,1.27
1997-07-01,1.29,0.22,-0.24,1.15,1.27
1997-10-01,1.32,0.3,-0.35,1.14,1.28
1998-01-01,1.36,0.02,-0.37,1.13,1.02
1998-04-01,1.07,0.29,-0.38,1.11,0.99
1998-07-01,0.8,0.38,-0.19,1.12,0.99
1998-10-01,1.02,0.13,-0.15,1.16,1.01
1999-01-01,1.09,0.35,-0.23,1.33,1.21
1999-04-01,0.95,0.36,-0.08,1.37,1.23
1999-07-01,0.93,0.48,-0.16,1.39,1.24
1999-10-01,0.94,0.48,-0.18,1.38,1.24
2000-01-01,1.36,-0.81,-0.19,0.43,0.36
2000-04-01,1.35,-0.71,-0.21,0.46,0.42
2000-07-01,1.04,-0.42,-0.17,0.47,0.45
2000-10-01,1.03,-0.47,-0.11,0.47,0.45
2001-01-01,0.54,0.49,0.16,1.25,1.19
2001-04-01,0.06,0.79,0.33,1.24,1.17
2001-07-01,0,0.64,0.53,1.25,1.18
2001-10-01,-0.52,0.65,1.06,1.27,1.19
2002-01-01,-0.74,0.85,1.09,1.28,1.2
2002-04-01,-0.35,0.52,0.97,1.27,1.15
2002-07-01,0.04,0.46,0.64,1.25,1.14
2002-10-01,0.2,0.68,0.24,1.19,1.13
2003-01-01,0.61,0.83,0.16,1.72,1.59
2003-04-01,0.59,0.8,0.26,1.67,1.64
2003-07-01,0.34,1.06,0.28,1.68,1.67
2003-10-01,0.77,0.9,0.04,1.81,1.71
2004-01-01,0.44,0.73,-0.14,1,1.02
2004-04-01,0.56,0.8,-0.36,1.07,1
2004-07-01,0.93,0.43,-0.39,1.04,0.98
2004-10-01,0.81,0.39,-0.24,0.91,0.96
2005-01-01,0.83,0.64,-0.27,1.28,1.21
2005-04-01,1.17,0.3,-0.26,1.21,1.21
2005-07-01,1.26,0.2,-0.24,1.22,1.23
2005-10-01,1.18,0.3,-0.24,1.26,1.24
2006-01-01,1.29,0.28,-0.36,1.13,1.21
2006-04-01,1.13,0.34,-0.25,1.17,1.22
2006-07-01,1.03,0.35,-0.16,1.18,1.21
2006-10-01,1.32,0.14,-0.27,1.17,1.19
2007-01-01,1.15,0.29,-0.09,1.41,1.35
2007-04-01,0.8,0.61,-0.07,1.42,1.33
2007-07-01,0.61,0.68,0.04,1.41,1.33
2007-10-01,0.2,0.77,0.24,1.32,1.21
2008-01-01,0.03,0.5,0.32,0.93,0.85
2008-04-01,0.05,0.2,0.57,0.92,0.83
2008-07-01,-0.3,0.18,0.94,0.95,0.82
2008-10-01,-0.87,0.44,1.36,1.06,0.92
2009-01-01,-1.99,0.54,2.35,1.04,0.9
2009-04-01,-2.39,0.69,2.57,1.03,0.88
2009-07-01,-2.55,1.05,2.34,1.02,0.85
2009-10-01,-2.46,1.4,1.88,1,0.82
2010-01-01,-1.19,1.05,1.02,1.22,0.89
2010-04-01,-0.44,1.09,0.22,1.2,0.87
2010-07-01,-0.06,0.99,-0.07,1.16,0.85
2010-10-01,0.3,0.74,-0.21,1.15,0.83
2011-01-01,0.37,1.01,-0.6,0.78,0.78
2011-04-01,0.16,0.99,-0.39,0.75,0.76
2011-07-01,0.2,0.83,-0.29,0.72,0.74
2011-10-01,0.62,0.63,-0.53,0.69,0.72
2012-01-01,1.03,0.98,-0.51,1.09,1.5
2012-04-01,1.13,0.91,-0.52,1.08,1.53
2012-07-01,1.08,1.03,-0.57,1.09,1.54
2012-10-01,1.1,0.93,-0.47,1.05,1.55
2013-01-01,0.62,0.7,-0.33,0.98,0.99
2013-04-01,0.7,0.67,-0.38,0.96,0.99
2013-07-01,0.72,0.73,-0.47,0.92,0.98
2013-10-01,0.37,1.15,-0.54,0.93,0.98
2014-01-01,0.85,0.79,-0.71,0.89,0.92
2014-04-01,0.85,0.91,-0.84,0.89,0.92
2014-07-01,0.89,0.76,-0.73,0.9,0.92
2014-10-01,1.28,0.37,-0.73,0.9,0.92
2015-01-01,1.15,0.66,-0.68,1.12,1.14
