,2023,2023,2023,2019,2019,2019
,Total with income,Median income,Mean income,Total with income,Median income,Mean income
category,,,,,,
\textbf{Total},"241,800","42,220","63,510","235,292","43,013","64,716"
Earnings,"173,100","50,310","68,130","169,802","49,661","69,063"
Social Security,"57,020","18,880","19,910","54,985","18,559","19,722"
Supplemental Security Income,"5,870","10,350","9,956","5,715","10,074","10,118"
Public assistance,"1,685","2,900","4,561","1,383","3,241","4,847"
Veterans' benefits,"5,068","17,110","21,920","4,406","16,444","21,082"
Survivor benefits,"3,174","11,100","20,690","3,197","11,638","20,492"
Disability benefits,"2,879","11,420","16,130","2,729","10,588","16,591"
Unemployment compensation,"3,325","4,150","5,921","3,345","4,457","6,304"
Workers' compensation,"1,317","9,834","16,060","1,485","9,605","17,036"
Property income,"156,000","1,764","7,699","146,025","2,032","7,435"
Retirement income,"30,940","16,720","27,980","30,731","17,356","30,852"
Pension income,"21,140","18,010","26,030","20,850","19,031","30,552"
Alimony,177,"13,660","45,930",216,"15,907","22,091"
Child support,"3,129","4,326","6,356","3,788","4,974","7,035"
Educational assistance,"7,488","5,883","9,733","7,848","6,247","10,380"
Outside financial assistance,"3,004","5,050","9,529","2,587","4,809","10,761"
Other,"2,307","1,631","6,287","2,407","2,176","15,490"
