category,2023 Q1,2023 Q1  ,2022 Q1  ,One-year,Three-year,20-year
Total Assets,\$168.5,635.0,692.3,-6.2,5.1,3.5
 Non-financial assets,54.1,204.0,219.1,-4.8,5.5,2.4
 Owner-occupied real estate,41.2,155.2,168.7,-5.9,5.9,2.4
 Consumer durable goods,7.7,29.2,29.8,0.3,5.7,1.8
 Nonprofit assets,5.2,19.6,20.6,-2.5,2.6,3.4
 Financial assets,114.3,430.9,473.2,-6.9,4.9,4.0
" Deposits, incl. money market",17.8,67.2,74.1,-7.3,3.2,3.5
 Debt securities and loans,11.7,44.3,42.4,6.8,-1.3,3.4
 Business equity,59.2,223.0,257.1,-11.3,10.1,5.6
 Corporate equities,42.1,158.7,191.0,-15.0,11.7,6.6
 Noncorporate business equity,17.1,64.3,66.1,-0.5,6.5,3.6
