name,kids,adults,elderly,yloc,xloc,label
Medical expenses,1.67,4.19,2.14,0,8,8.0
Work expenses,1.85,3.59,0.25,1,5.7,5.7
FICA,1.54,3.08,0.2,2,4.8,4.8
Federal income tax,0.18,0.88,0.11,3,1.2,1.2
Child support paid,0.05,0.2,0.01,4,0.3,0.3
\hspace{2mm} \textbf{Additions:},0,0,0,5,0,
WIC,-0.17,-0.13,0,6,-3.3,-0.3
Workers' compensation,-0.03,-0.08,-0.02,7,-3.1,-0.1
LIHEAP,-0.07,-0.15,-0.03,8,-3.3,-0.3
Unemployment insurance,-0.1,-0.26,-0.04,9,-3.4,-0.4
TANF/general assistance,-0.22,-0.21,-0.02,10,-3.5,-0.5
School lunch,-0.8,-0.62,-0.02,11,-4.4,-1.4
Child support received,-0.43,-0.34,-0.02,12,-3.8,-0.8
Housing subsidies,-0.94,-1.41,-0.67,13,-6,-3.0
SSI,-0.5,-1.9,-0.53,14,-5.9,-2.9
SNAP,-1.38,-1.51,-0.32,15,-6.2,-3.2
Refundable tax credits,-4.73,-4.1,-0.12,16,-12,-9.0
Social Security,-1.47,-7.84,-17.9,17,-30.9,-27.2
