date,Total
2004-09-01,0
2004-10-01,0
2004-11-01,0
2004-12-01,0
2005-01-01,0
2005-02-01,0
2005-03-01,0
2005-04-01,0
2005-05-01,0
2005-06-01,0
2005-07-01,0
2005-08-01,0
2005-09-01,0
2005-10-01,0
2005-11-01,0.0333333
2005-12-01,0
2006-01-01,0
2006-02-01,0
2006-03-01,0
2006-04-01,0
2006-05-01,0
2006-06-01,0
2006-07-01,0
2006-08-01,0.0333333
2006-09-01,8.88178e-16
2006-10-01,0
2006-11-01,0
2006-12-01,0
2007-01-01,0.0666667
2007-02-01,0.0666667
2007-03-01,0.0666667
2007-04-01,0.0333333
2007-05-01,0
2007-06-01,0.0666667
2007-07-01,0.133333
2007-08-01,0.2
2007-09-01,0.233333
2007-10-01,0.233333
2007-11-01,0.266667
2007-12-01,0.366667
2008-01-01,0.466667
2008-02-01,0.533333
2008-03-01,0.566667
2008-04-01,0.566667
2008-05-01,0.666667
2008-06-01,0.766667
2008-07-01,0.966667
2008-08-01,1.16667
2008-09-01,1.33333
2008-10-01,1.53333
2008-11-01,1.66667
2008-12-01,1.96667
2009-01-01,2.33333
2009-02-01,2.8
2009-03-01,3.26667
2009-04-01,3.5
2009-05-01,3.7
2009-06-01,3.7
2009-07-01,3.63333
2009-08-01,3.53333
2009-09-01,3.4
2009-10-01,3.33333
2009-11-01,3.03333
2009-12-01,2.63333
2010-01-01,2.06667
2010-02-01,1.56667
2010-03-01,1.16667
2010-04-01,0.833333
2010-05-01,0.5
2010-06-01,0.166667
2010-07-01,0
2010-08-01,0
2010-09-01,0.0333333
2010-10-01,0.0333333
2010-11-01,0.133333
2010-12-01,0.0666667
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0.0333333
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,0
2012-11-01,0
2012-12-01,0.0333333
2013-01-01,0.1
2013-02-01,0.1
2013-03-01,0
2013-04-01,0
2013-05-01,0
2013-06-01,0
2013-07-01,0
2013-08-01,0
2013-09-01,0
2013-10-01,0
2013-11-01,0
2013-12-01,0
2014-01-01,0
2014-02-01,0
2014-03-01,0
2014-04-01,0
2014-05-01,0
2014-06-01,0
2014-07-01,0
2014-08-01,0
2014-09-01,0
2014-10-01,0
2014-11-01,0
2014-12-01,0
2015-01-01,8.88178e-16
2015-02-01,0
2015-03-01,0
2015-04-01,0
2015-05-01,0.0333333
2015-06-01,0
2015-07-01,0
2015-08-01,0
2015-09-01,0
2015-10-01,0
2015-11-01,8.88178e-16
2015-12-01,0
2016-01-01,0
2016-02-01,0
2016-03-01,0
2016-04-01,0.1
2016-05-01,0.0666667
2016-06-01,0.0333333
2016-07-01,0
2016-08-01,0.0333333
2016-09-01,0.0666667
2016-10-01,0.1
2016-11-01,0.0333333
2016-12-01,0
2017-01-01,0
2017-02-01,0
2017-03-01,0
2017-04-01,0
2017-05-01,0
2017-06-01,0
2017-07-01,0
2017-08-01,0
2017-09-01,0
2017-10-01,0
2017-11-01,0
2017-12-01,0
2018-01-01,0
2018-02-01,0
2018-03-01,0
2018-04-01,0
2018-05-01,0
2018-06-01,0
2018-07-01,0
2018-08-01,0
2018-09-01,0
2018-10-01,0
2018-11-01,0
2018-12-01,0.0666667
2019-01-01,0.133333
2019-02-01,0.133333
2019-03-01,0.1
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,0
2019-11-01,0
2019-12-01,0.0333333
2020-01-01,0.0333333
2020-02-01,0
2020-03-01,0.266667
2020-04-01,4
2020-05-01,7.23333
2020-06-01,9.43333
2020-07-01,7.9
2020-08-01,6.3
2020-09-01,5.23333
2020-10-01,4.13333
2020-11-01,3.56667
2020-12-01,3.2
2021-01-01,3.03333
2021-02-01,2.6
2021-03-01,0
2021-04-01,0
2021-05-01,0
2021-06-01,0
2021-07-01,0
2021-08-01,0
2021-09-01,0
2021-10-01,0
2021-11-01,0
2021-12-01,0
2022-01-01,0
2022-02-01,0
2022-03-01,0
2022-04-01,0
2022-05-01,0
2022-06-01,0
2022-07-01,0
2022-08-01,0
2022-09-01,0
2022-10-01,0.0333333
2022-11-01,0.0333333
2022-12-01,0.0333333
2023-01-01,0
2023-02-01,0
2023-03-01,0
2023-04-01,0
2023-05-01,0
2023-06-01,0.0333333
2023-07-01,0.0666667
2023-08-01,0.1
2023-09-01,0.133333
2023-10-01,0.266667
2023-11-01,0.266667
2023-12-01,0.3
2024-01-01,0.233333
2024-02-01,0.3
2024-03-01,0.333333
2024-04-01,0.4
2024-05-01,0.366667
2024-06-01,0.4
2024-07-01,0.466667
2024-08-01,0.533333
2024-09-01,0.433333
2024-10-01,0.4
2024-11-01,0.4
2024-12-01,0.4
2025-01-01,0.3
2025-02-01,0.266667
2025-03-01,0.233333
2025-04-01,0.3
2025-05-01,0.266667
2025-06-01,0.133333
2025-07-01,0.133333
2025-08-01,0.133333
2025-09-01,0.233333
2025-10-01,0.283333
2025-11-01,0.35
2025-12-01,0.35
2026-01-01,0.3
