date,Y001RY,A009RY,Y033RY
1989-01-01,0.27,0.22,0.32
1989-04-01,0.27,-0.16,0.57
1989-07-01,0.29,0.47,0.52
1989-10-01,0.3,-0.09,-0.74
1990-01-01,0.23,0.3,0.11
1990-04-01,0.19,-0.07,-0.79
1990-07-01,0.05,-0.05,0.34
1990-10-01,0.2,-0.62,-0.38
1991-01-01,0.18,-0.28,-0.9
1991-04-01,0.26,-0.35,-0.17
1991-07-01,0.04,-0.8,0.33
1991-10-01,0.31,-0.23,-0.13
1992-01-01,0.15,-0.14,-0.2
1992-04-01,0.14,0.0,1.29
1992-07-01,0.07,0.1,0.52
1992-10-01,0.19,0.14,0.85
1993-01-01,0.15,-0.14,0.44
1993-04-01,0.12,-0.17,0.95
1993-07-01,0.07,0.03,0.26
1993-10-01,0.0,0.31,1.34
1994-01-01,0.11,-0.33,0.69
1994-04-01,0.16,0.42,0.13
1994-07-01,0.21,-0.07,0.64
1994-10-01,0.16,0.15,1.54
1995-01-01,0.14,0.29,1.35
1995-04-01,0.27,0.26,-0.06
1995-07-01,0.24,0.04,0.03
1995-10-01,0.3,-0.09,0.74
1996-01-01,0.39,0.2,0.66
1996-04-01,0.31,0.24,0.79
1996-07-01,0.36,0.13,1.09
1996-10-01,0.38,0.59,0.33
1997-01-01,0.6,0.07,0.53
1997-04-01,0.28,-0.1,0.92
1997-07-01,0.34,0.48,1.48
1997-10-01,0.35,0.07,-0.11
1998-01-01,0.36,-0.09,1.42
1998-04-01,0.36,0.65,0.79
1998-07-01,0.45,-0.02,0.4
1998-10-01,0.36,-0.02,1.24
1999-01-01,0.4,-0.02,0.81
1999-04-01,0.57,-0.12,1.01
1999-07-01,0.62,0.0,0.99
1999-10-01,0.32,0.14,-0.19
2000-01-01,0.5,0.26,1.32
2000-04-01,0.2,0.52,1.12
2000-07-01,0.09,0.44,0.09
2000-10-01,0.23,0.05,-0.08
2001-01-01,0.06,-0.36,-0.26
2001-04-01,-0.08,0.08,-1.2
2001-07-01,-0.06,0.1,-0.7
2001-10-01,-0.23,-1.24,-0.08
2002-01-01,-0.06,-0.62,-0.56
2002-04-01,0.15,-0.61,-0.1
2002-07-01,0.1,-0.5,0.24
2002-10-01,-0.07,-0.13,-0.46
2003-01-01,0.22,-0.06,0.07
2003-04-01,0.14,0.27,0.9
2003-07-01,0.3,-0.03,0.78
2003-10-01,0.17,0.02,0.42
2004-01-01,0.03,-0.2,-0.29
2004-04-01,0.14,0.06,0.98
2004-07-01,0.39,0.17,0.82
2004-10-01,0.26,0.01,0.73
2005-01-01,0.35,0.14,0.22
2005-04-01,0.24,-0.05,0.59
2005-07-01,0.2,-0.05,0.88
2005-10-01,-0.06,0.11,0.34
2006-01-01,0.18,0.42,1.09
2006-04-01,0.25,0.36,0.28
2006-07-01,0.46,0.23,0.2
2006-10-01,0.42,0.01,0.14
2007-01-01,0.13,0.48,0.36
2007-04-01,0.1,0.74,0.36
2007-07-01,0.05,0.67,0.14
2007-10-01,0.32,0.37,0.16
2008-01-01,0.28,0.06,-0.12
2008-04-01,0.15,0.26,-0.28
2008-07-01,-0.18,-0.08,-0.74
2008-10-01,-0.11,-0.34,-2.64
2009-01-01,-0.41,-1.13,-2.34
2009-04-01,0.39,-1.08,-0.74
2009-07-01,0.16,-0.87,0.46
2009-10-01,0.48,-1.0,0.85
2010-01-01,-0.27,-0.73,1.32
2010-04-01,-0.08,0.29,1.28
2010-07-01,0.29,-0.15,1.11
2010-10-01,0.29,0.19,0.44
2011-01-01,0.16,-0.74,0.53
2011-04-01,0.26,0.66,0.31
2011-07-01,0.32,0.6,1.32
2011-10-01,0.37,0.37,0.54
2012-01-01,0.04,0.53,0.73
2012-04-01,0.21,0.28,0.67
2012-07-01,0.03,-0.14,-0.07
2012-10-01,0.31,-0.23,0.48
2013-01-01,0.5,-0.25,0.44
2013-04-01,-0.14,0.33,-0.05
2013-07-01,0.31,0.59,0.0
2013-10-01,0.05,0.11,0.91
2014-01-01,0.1,0.44,0.21
2014-04-01,0.38,0.46,0.62
2014-07-01,0.3,0.05,0.76
2014-10-01,0.34,0.21,-0.23
2015-01-01,-0.13,-0.16,0.2
2015-04-01,0.06,0.09,0.09
2015-07-01,0.22,-0.42,0.39
2015-10-01,0.39,-0.51,-0.32
2016-01-01,0.52,-0.44,-0.13
2016-04-01,0.42,0.23,-0.3
2016-07-01,0.33,0.47,-0.11
2016-10-01,0.15,0.18,0.01
2017-01-01,0.31,0.14,0.09
2017-04-01,0.07,0.09,0.39
2017-07-01,0.34,-0.28,0.37
2017-10-01,0.31,0.16,0.73
2018-01-01,0.38,0.46,0.32
2018-04-01,0.51,0.26,0.11
2018-07-01,0.26,-0.1,0.33
2018-10-01,0.5,-0.4,0.41
2019-01-01,0.17,0.02,0.05
2019-04-01,0.34,0.45,0.04
2019-07-01,0.35,0.53,-0.32
2019-10-01,0.44,-0.19,-0.49
2020-01-01,0.38,-0.11,-1.44
2020-04-01,-0.46,-1.6,-2.05
2020-07-01,0.53,-0.32,2.69
2020-10-01,0.42,0.02,1.02
2021-01-01,0.78,0.04,0.36
2021-04-01,0.64,-0.08,0.73
2021-07-01,0.38,-0.18,-0.09
2021-10-01,0.42,-0.35,0.1
2022-01-01,0.54,-0.11,0.55
2022-04-01,0.46,-0.34,-0.11
2022-07-01,0.36,-0.09,0.53
