date,Government,Utilities,Wholesale trade,Retail trade,Transportation and warehousing,Private goods-producing industries [1],Private services-producing industries [2],"Finance, insurance, real estate, rental, and leasing","Educational services, health care, and social assistance",Construction,Manufacturing,Information,Professional and business services,Federal,State and local,TTU,FIRE,Oth_Serv,GoodsTTU,Accommodation,Accommodation and food services,Administrative and support services,Administrative and waste management services,"Agriculture, forestry, fishing, and hunting",Air transportation,Ambulatory health care services,"Amusements, gambling, and recreation industries",Apparel and leather and allied products,"Arts, entertainment, and recreation","Arts, entertainment, recreation, accommodation, and food services",Broadcasting and telecommunications,Chemical products,Computer and electronic products,Computer systems design and related services,"Data processing, internet publishing, and other information services",Durable goods,Educational services,"Electrical equipment, appliances, and components",Fabricated metal products,Farms,"Federal Reserve banks, credit intermediation, and related activities",Finance and insurance,Food and beverage and tobacco products,Food and beverage stores,Food services and drinking places,"Forestry, fishing, and related activities","Funds, trusts, and other financial vehicles",Furniture and related products,General government,General merchandise stores,Government enterprises,Gross domestic product,Health care and social assistance,Hospitals,Housing,Insurance carriers and related activities,Legal services,Machinery,Management of companies and enterprises,Mining,"Mining, except oil and gas",Miscellaneous manufacturing,"Miscellaneous professional, scientific, and technical services",Motion picture and sound recording industries,Motor vehicle and parts dealers,"Motor vehicles, bodies and trailers, and parts",National defense,Nondefense,Nondurable goods,Nonmetallic mineral products,Nursing and residential care facilities,Oil and gas extraction,Other real estate,Other retail,"Other services, except government",Other transportation and support activities,Other transportation equipment,Paper products,"Performing arts, spectator sports, museums, and related activities",Petroleum and coal products,Pipeline transportation,Plastics and rubber products,Primary metals,Printing and related support activities,Private industries,"Professional, scientific, and technical services","Publishing industries, except internet (includes software)",Rail transportation,Real estate,Real estate and rental and leasing,Rental and leasing services and lessors of intangible assets,"Securities, commodity contracts, and investments",Social assistance,Support activities for mining,Textile mills and textile product mills,Transit and ground passenger transportation,Truck transportation,Warehousing and storage,Waste management and remediation services,Water transportation,Wood products
1989-01-01,0.39,0.21,0.44,0.27,0.11,0.19,2.92,0.48,0.22,0.04,0.06,0.28,0.65,0.1,0.29,1.03,0.76,1.13,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-04-01,0.39,0.21,0.44,0.27,0.11,0.19,2.92,0.48,0.22,0.04,0.06,0.28,0.65,0.1,0.29,1.03,0.76,1.13,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-07-01,0.39,0.21,0.44,0.27,0.11,0.19,2.92,0.48,0.22,0.04,0.06,0.28,0.65,0.1,0.29,1.03,0.76,1.13,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-10-01,0.39,0.21,0.44,0.27,0.11,0.19,2.92,0.48,0.22,0.04,0.06,0.28,0.65,0.1,0.29,1.03,0.76,1.13,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-01,0.36,0.12,-0.03,0.07,0.11,-0.09,1.53,0.33,0.2,-0.07,-0.1,0.13,0.45,0.1,0.26,0.27,0.46,0.8,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-01,0.36,0.12,-0.03,0.07,0.11,-0.09,1.53,0.33,0.2,-0.07,-0.1,0.13,0.45,0.1,0.26,0.27,0.46,0.8,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-07-01,0.36,0.12,-0.03,0.07,0.11,-0.09,1.53,0.33,0.2,-0.07,-0.1,0.13,0.45,0.1,0.26,0.27,0.46,0.8,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-10-01,0.36,0.12,-0.03,0.07,0.11,-0.09,1.53,0.33,0.2,-0.07,-0.1,0.13,0.45,0.1,0.26,0.27,0.46,0.8,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,0.07,-0.08,0.31,-0.02,0.11,-0.46,0.33,0.3,0.15,-0.3,-0.21,0.01,-0.31,-0.01,0.08,0.32,0.31,-0.3,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-01,0.07,-0.08,0.31,-0.02,0.11,-0.46,0.33,0.3,0.15,-0.3,-0.21,0.01,-0.31,-0.01,0.08,0.32,0.31,-0.3,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-07-01,0.07,-0.08,0.31,-0.02,0.11,-0.46,0.33,0.3,0.15,-0.3,-0.21,0.01,-0.31,-0.01,0.08,0.32,0.31,-0.3,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-10-01,0.07,-0.08,0.31,-0.02,0.11,-0.46,0.33,0.3,0.15,-0.3,-0.21,0.01,-0.31,-0.01,0.08,0.32,0.31,-0.3,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,0.13,0.03,0.46,0.29,0.21,0.81,2.51,0.67,0.14,0.05,0.65,0.24,0.24,-0.03,0.16,0.99,0.91,0.61,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-04-01,0.13,0.03,0.46,0.29,0.21,0.81,2.51,0.67,0.14,0.05,0.65,0.24,0.24,-0.03,0.16,0.99,0.91,0.61,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-07-01,0.13,0.03,0.46,0.29,0.21,0.81,2.51,0.67,0.14,0.05,0.65,0.24,0.24,-0.03,0.16,0.99,0.91,0.61,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-10-01,0.13,0.03,0.46,0.29,0.21,0.81,2.51,0.67,0.14,0.05,0.65,0.24,0.24,-0.03,0.16,0.99,0.91,0.61,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,0.03,-0.04,0.21,0.4,0.13,0.59,2.04,0.51,0.15,0.11,0.59,0.26,0.18,-0.11,0.14,0.7,0.77,0.57,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-04-01,0.03,-0.04,0.21,0.4,0.13,0.59,2.04,0.51,0.15,0.11,0.59,0.26,0.18,-0.11,0.14,0.7,0.77,0.57,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-07-01,0.03,-0.04,0.21,0.4,0.13,0.59,2.04,0.51,0.15,0.11,0.59,0.26,0.18,-0.11,0.14,0.7,0.77,0.57,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-10-01,0.03,-0.04,0.21,0.4,0.13,0.59,2.04,0.51,0.15,0.11,0.59,0.26,0.18,-0.11,0.14,0.7,0.77,0.57,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-01,0.08,0.04,0.33,0.48,0.25,1.5,2.37,0.45,0.1,0.2,0.96,0.22,0.27,-0.1,0.17,1.1,0.67,0.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-04-01,0.08,0.04,0.33,0.48,0.25,1.5,2.37,0.45,0.1,0.2,0.96,0.22,0.27,-0.1,0.17,1.1,0.67,0.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-07-01,0.08,0.04,0.33,0.48,0.25,1.5,2.37,0.45,0.1,0.2,0.96,0.22,0.27,-0.1,0.17,1.1,0.67,0.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-01,0.08,0.04,0.33,0.48,0.25,1.5,2.37,0.45,0.1,0.2,0.96,0.22,0.27,-0.1,0.17,1.1,0.67,0.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,0.01,0.03,-0.01,0.32,0.09,0.48,1.75,0.53,0.06,0.04,0.63,0.17,0.34,-0.19,0.21,0.43,0.7,0.62,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-04-01,0.01,0.03,-0.01,0.32,0.09,0.48,1.75,0.53,0.06,0.04,0.63,0.17,0.34,-0.19,0.21,0.43,0.7,0.62,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-01,0.01,0.03,-0.01,0.32,0.09,0.48,1.75,0.53,0.06,0.04,0.63,0.17,0.34,-0.19,0.21,0.43,0.7,0.62,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-10-01,0.01,0.03,-0.01,0.32,0.09,0.48,1.75,0.53,0.06,0.04,0.63,0.17,0.34,-0.19,0.21,0.43,0.7,0.62,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,0.06,-0.01,0.73,0.55,0.19,0.95,3.05,0.44,0.07,0.19,0.68,0.27,0.61,-0.1,0.16,1.46,0.71,0.88,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-01,0.06,-0.01,0.73,0.55,0.19,0.95,3.05,0.44,0.07,0.19,0.68,0.27,0.61,-0.1,0.16,1.46,0.71,0.88,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-07-01,0.06,-0.01,0.73,0.55,0.19,0.95,3.05,0.44,0.07,0.19,0.68,0.27,0.61,-0.1,0.16,1.46,0.71,0.88,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-10-01,0.06,-0.01,0.73,0.55,0.19,0.95,3.05,0.44,0.07,0.19,0.68,0.27,0.61,-0.1,0.16,1.46,0.71,0.88,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-01,0.19,-0.09,0.75,0.51,0.03,1.39,3.33,1.05,0.18,-0.02,1.19,-0.08,0.63,0.04,0.15,1.2,0.97,1.16,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-01,0.19,-0.09,0.75,0.51,0.03,1.39,3.33,1.05,0.18,-0.02,1.19,-0.08,0.63,0.04,0.15,1.2,0.97,1.16,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-07-01,0.19,-0.09,0.75,0.51,0.03,1.39,3.33,1.05,0.18,-0.02,1.19,-0.08,0.63,0.04,0.15,1.2,0.97,1.16,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-10-01,0.19,-0.09,0.75,0.51,0.03,1.39,3.33,1.05,0.18,-0.02,1.19,-0.08,0.63,0.04,0.15,1.2,0.97,1.16,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
