date,total,food_energy,core_goods,core_services,shelter
2011-01-01,1.63,0.9,-0.04,0.58,0.2
2011-02-01,2.11,1.26,0,0.6,0.24
2011-03-01,2.68,1.76,0.03,0.6,0.29
2011-04-01,3.16,2.13,0.15,0.57,0.31
2011-05-01,3.57,2.4,0.26,0.57,0.34
2011-06-01,3.56,2.29,0.35,0.54,0.38
2011-07-01,3.63,2.26,0.39,0.53,0.45
2011-08-01,3.77,2.26,0.43,0.57,0.51
2011-09-01,3.87,2.34,0.42,0.58,0.53
2011-10-01,3.53,1.9,0.45,0.61,0.57
2011-11-01,3.39,1.73,0.47,0.61,0.59
2011-12-01,2.96,1.24,0.45,0.66,0.61
2012-01-01,2.93,1.17,0.45,0.66,0.63
2012-02-01,2.87,1.19,0.42,0.61,0.64
2012-03-01,2.65,0.91,0.43,0.63,0.67
2012-04-01,2.3,0.52,0.41,0.66,0.7
2012-05-01,1.7,-0.02,0.34,0.67,0.71
2012-06-01,1.66,-0.03,0.28,0.71,0.69
2012-07-01,1.41,-0.19,0.23,0.7,0.65
2012-08-01,1.69,0.22,0.14,0.65,0.66
2012-09-01,1.99,0.46,0.14,0.67,0.69
2012-10-01,2.16,0.62,0.14,0.67,0.71
2012-11-01,1.76,0.28,0.1,0.67,0.71
2012-12-01,1.74,0.3,0.06,0.68,0.69
2013-01-01,1.59,0.13,0.07,0.69,0.7
2013-02-01,1.98,0.46,0.06,0.74,0.71
2013-03-01,1.47,0.05,0.01,0.71,0.7
2013-04-01,1.06,-0.23,-0.01,0.62,0.69
2013-05-01,1.36,0.09,-0.03,0.59,0.71
2013-06-01,1.75,0.51,-0.05,0.56,0.73
2013-07-01,1.96,0.67,-0.04,0.58,0.74
2013-08-01,1.52,0.18,-0.01,0.59,0.75
2013-09-01,1.18,-0.12,-0.01,0.58,0.74
2013-10-01,0.96,-0.31,-0.03,0.59,0.71
2013-11-01,1.24,-0.07,-0.04,0.58,0.77
2013-12-01,1.5,0.19,-0.01,0.52,0.8
2014-01-01,1.58,0.35,-0.06,0.48,0.82
2014-02-01,1.13,-0.05,-0.08,0.46,0.81
2014-03-01,1.51,0.28,-0.06,0.46,0.86
2014-04-01,1.95,0.59,-0.05,0.57,0.87
2014-05-01,2.13,0.68,-0.04,0.63,0.9
2014-06-01,2.07,0.65,-0.04,0.62,0.89
2014-07-01,1.99,0.62,-0.06,0.55,0.92
2014-08-01,1.7,0.42,-0.07,0.47,0.92
2014-09-01,1.66,0.37,-0.05,0.43,0.94
2014-10-01,1.66,0.28,-0.04,0.45,0.97
2014-11-01,1.32,0,-0.1,0.45,0.95
2014-12-01,0.76,-0.48,-0.15,0.46,0.93
2015-01-01,-0.09,-1.36,-0.16,0.48,0.94
2015-02-01,-0.03,-1.33,-0.1,0.45,0.95
2015-03-01,-0.07,-1.42,-0.05,0.45,0.94
2015-04-01,-0.2,-1.58,-0.04,0.46,0.96
2015-05-01,-0.04,-1.35,-0.06,0.45,0.92
2015-06-01,0.12,-1.22,-0.08,0.47,0.96
2015-07-01,0.17,-1.21,-0.1,0.48,1
2015-08-01,0.2,-1.2,-0.09,0.5,0.99
2015-09-01,-0.04,-1.49,-0.1,0.53,1.02
2015-10-01,0.17,-1.3,-0.14,0.58,1.03
2015-11-01,0.5,-1.06,-0.11,0.64,1.03
2015-12-01,0.73,-0.9,-0.08,0.66,1.05
2016-01-01,1.37,-0.36,-0.02,0.68,1.07
2016-02-01,1.02,-0.82,0.01,0.73,1.08
2016-03-01,0.85,-0.87,-0.07,0.73,1.05
2016-04-01,1.13,-0.55,-0.1,0.72,1.05
2016-05-01,1.02,-0.72,-0.1,0.74,1.11
2016-06-01,1,-0.74,-0.12,0.74,1.13
2016-07-01,0.83,-0.87,-0.12,0.74,1.08
2016-08-01,1.06,-0.74,-0.09,0.78,1.12
2016-09-01,1.46,-0.26,-0.12,0.72,1.14
2016-10-01,1.64,-0.05,-0.11,0.62,1.17
2016-11-01,1.69,0.03,-0.14,0.62,1.19
2016-12-01,2.07,0.34,-0.12,0.66,1.2
2017-01-01,2.5,0.7,-0.05,0.67,1.18
2017-02-01,2.74,0.97,-0.1,0.69,1.17
2017-03-01,2.38,0.79,-0.11,0.56,1.15
2017-04-01,2.2,0.71,-0.12,0.47,1.15
2017-05-01,1.87,0.5,-0.15,0.41,1.11
2017-06-01,1.63,0.29,-0.13,0.39,1.08
2017-07-01,1.73,0.39,-0.12,0.41,1.05
2017-08-01,1.94,0.61,-0.17,0.4,1.1
2017-09-01,2.23,0.89,-0.19,0.45,1.08
2017-10-01,2.04,0.64,-0.19,0.51,1.08
2017-11-01,2.2,0.85,-0.17,0.47,1.06
2017-12-01,2.11,0.7,-0.14,0.47,1.08
2018-01-01,2.07,0.63,-0.13,0.49,1.07
2018-02-01,2.21,0.74,-0.1,0.5,1.05
2018-03-01,2.36,0.68,-0.06,0.61,1.12
2018-04-01,2.46,0.76,-0.07,0.62,1.14
2018-05-01,2.8,1.02,-0.05,0.64,1.18
2018-06-01,2.87,1.07,-0.04,0.69,1.14
2018-07-01,2.95,1.07,-0.01,0.69,1.19
2018-08-01,2.7,0.95,-0.04,0.65,1.15
2018-09-01,2.28,0.56,-0.06,0.68,1.11
2018-10-01,2.52,0.82,-0.02,0.65,1.07
2018-11-01,2.18,0.42,0.03,0.64,1.1
2018-12-01,1.91,0.19,0.03,0.65,1.05
2019-01-01,1.55,-0.15,0.07,0.58,1.06
2019-02-01,1.52,-0.13,0.03,0.52,1.1
