name,label,kids,adults,elderly,yloc,xloc
Medical expenses,7.7,1.42,4.05,2.20,0,7.7
Work expenses,5.0,1.52,3.21,0.24,1,5.0
FICA,4.1,1.28,2.62,0.16,2,4.1
Federal income tax,1.1,0.15,0.87,0.08,3,1.1
Child support paid,0.3,0.08,0.17,0.01,4,0.3
\hspace{2mm} \textbf{Additions:}, ,0.00,0.00,0.00,5,0
Workers' compensation,-0.1,-0.02,-0.09,-0.02,6,-3.1
LIHEAP,-0.2,-0.03,-0.09,-0.05,7,-3.2
WIC,-0.2,-0.13,-0.10,0.00,8,-3.2
TANF/general assistance,-0.3,-0.16,-0.12,-0.01,9,-3.3
Unemployment insurance,-0.5,-0.13,-0.30,-0.04,10,-3.5
Child support received,-0.7,-0.37,-0.28,-0.01,11,-3.7
School lunch,-1.2,-0.66,-0.48,-0.02,12,-4.2
SNAP,-2.5,-0.99,-1.22,-0.28,13,-5.5
Housing subsidies,-2.6,-0.76,-1.25,-0.63,14,-5.6
SSI,-2.9,-0.54,-1.83,-0.51,15,-5.9
Refundable tax credits,-7.5,-4.02,-3.37,-0.12,16,-10.5
Social Security,-26.5,-1.44,-7.48,-17.54,17,-30.0
