name,label,kids,adults,elderly,yloc,xloc
Medical expenses,4.7,0.582,2.532,1.565,0,4.678
Work expenses,2.2,0.424,1.614,0.118,1,2.157
FICA,1.9,0.373,1.458,0.106,2,1.937
Federal income tax,0.8,0.122,0.571,0.077,3,0.77
Child support paid,0.2,0.027,0.18,0.007,4,0.215
\hspace{2mm} \textbf{Additions:},,0,0,0,5,0
WIC,-0.1,-0.039,-0.041,0,6,-3.081
Workers' compensation,-0.1,-0.011,-0.117,-0.01,7,-3.138
Utility assistance,-0.2,-0.034,-0.087,-0.056,8,-3.178
TANF/general assistance,-0.3,-0.109,-0.161,-0.015,9,-3.284
Child support received,-0.3,-0.14,-0.165,-0.002,10,-3.308
Unemployment insurance,-2.3,-0.525,-1.569,-0.198,11,-5.292
Housing subsidies,-2.4,-0.595,-1.2,-0.616,12,-5.411
SSI,-2.7,-0.288,-1.874,-0.585,13,-5.747
SNAP and school lunch,-3.4,-1.188,-1.883,-0.343,14,-6.415
Economic Impact/stimulus,-8.9,-2.27,-4.939,-1.69,15,-11.9
Refundable tax credits,-9.6,-4.893,-4.536,-0.206,16,-12.635
Social Security,-26.3,-1.065,-7.183,-18.091,17,-29.838
