Year,White17,Black17,Asian17,Hispanic17,White13,Black13,Asian13,Hispanic13,White,Black,Asian,Hispanic
2002-07-01,,,,,,,,,65.05,41.88,75.93,47.76
2003-07-01,,,,,,,,,64.38,41.82,78.58,46.55
2004-07-01,,,,,,,,,64.09,41.34,78.99,47.08
2005-07-01,,,,,,,,,64.51,41,81.18,47.79
2006-07-01,,,,,,,,,65.22,41.14,82.67,48.62
2007-07-01,,,,,,,,,65.22,42.45,82.73,48.41
2008-07-01,,,,,,,,,63.05,41.24,79.11,45.69
2009-07-01,,,,,,,,,62.72,39.41,79.18,46
2010-07-01,,,,,,,,,61.52,38.22,76.45,44.77
2011-07-01,,,,,,,,,60.22,37.17,75.12,44.55
2012-07-01,,,,,61.5,38.51,74.64,45.59,60.66,37.64,77.52,44.06
2013-07-01,,,,,63.16,39.32,80.56,44.17,,,,
2014-07-01,,,,,62.24,38.74,81.32,46.51,,,,
2015-07-01,,,,,65.67,40.31,84.31,49.33,,,,
2016-07-01,,,,,66.72,42.6,87.84,51.43,,,,
2017-07-01,68.46,41.57,85.95,52.97,68.93,42.51,85.88,53.31,,,,
2018-07-01,69.01,42.64,89.88,53.04,,,,,,,,
2019-07-01,73.11,46.01,99.4,56.81,,,,,,,,
2020-07-01,71.23,45.87,94.9,55.32,,,,,,,,
