date,value_index,value,hours,output,hours_index,output_index,business_ulc,manuf_ulc,nfbus_ulc
1989-01-01,56.967,0.7,4.1,4.8,79.91,45.522,68.633,87.947,68.293
1989-04-01,57.132,1.2,1.6,2.7,80.219,45.831,68.692,88.266,68.374
1989-07-01,57.398,1.9,0.9,2.8,80.403,46.15,68.989,89.685,68.667
1989-10-01,57.404,0.0,0.0,0.1,80.407,46.157,69.918,90.551,69.646
1990-01-01,57.936,3.8,1.2,5.1,80.657,46.73,70.67,89.804,70.319
1990-04-01,58.338,2.8,-1.7,1.0,80.31,46.851,71.556,90.983,71.191
1990-07-01,58.53,1.3,-2.1,-0.8,79.895,46.762,72.149,90.904,71.898
1990-10-01,57.921,-4.1,-1.7,-5.7,79.555,46.079,73.4,92.158,73.201
1991-01-01,58.1,1.2,-3.9,-2.7,78.777,45.769,73.638,93.376,73.401
1991-04-01,59.05,6.7,-2.5,4.0,78.278,46.223,73.819,93.733,73.61
1991-07-01,59.551,3.4,-0.4,3.0,78.194,46.565,74.158,93.164,73.857
1991-10-01,59.836,1.9,-0.7,1.2,78.055,46.705,74.732,93.543,74.493
1992-01-01,61.018,8.1,-2.3,5.6,77.597,47.348,75.052,94.13,74.951
1992-04-01,61.528,3.4,1.6,5.1,77.91,47.937,75.076,93.602,75.008
1992-07-01,62.086,3.7,0.6,4.3,78.033,48.448,75.237,93.266,75.188
1992-10-01,62.449,2.4,2.7,5.1,78.545,49.05,75.237,94.975,75.146
1993-01-01,61.915,-3.4,3.6,0.1,79.233,49.057,75.415,89.876,75.243
1993-04-01,61.553,-2.3,4.6,2.2,80.133,49.324,76.368,93.259,76.248
1993-07-01,61.829,1.8,2.4,4.2,80.604,49.837,76.481,93.947,75.94
1993-10-01,62.068,1.6,3.9,5.5,81.375,50.508,76.435,94.682,76.194
1994-01-01,62.239,1.1,2.5,3.7,81.888,50.966,75.726,91.516,75.544
1994-04-01,62.301,0.4,6.6,7.0,83.209,51.84,76.284,91.629,76.107
1994-07-01,61.946,-2.3,4.8,2.4,84.192,52.153,76.69,91.772,76.515
1994-10-01,62.602,4.3,1.6,6.0,84.537,52.922,76.472,91.535,76.312
1995-01-01,62.641,0.2,2.0,2.2,84.951,53.214,77.124,90.14,76.704
1995-04-01,62.936,1.9,-0.6,1.3,84.826,53.386,77.433,90.663,76.978
1995-07-01,62.93,0.0,4.7,4.6,85.801,53.995,77.841,91.004,77.401
1995-10-01,63.275,2.2,1.0,3.2,86.018,54.428,77.988,90.856,77.605
1996-01-01,63.663,2.5,0.8,3.3,86.19,54.871,78.225,90.371,77.965
1996-04-01,64.284,4.0,3.8,7.9,86.993,55.923,78.125,90.023,77.937
1996-07-01,64.522,1.5,3.4,4.9,87.716,56.596,78.556,89.226,78.247
1996-10-01,64.587,0.4,4.6,5.0,88.705,57.292,78.886,88.666,78.628
1997-01-01,64.446,-0.9,3.5,2.6,89.471,57.66,79.883,87.521,79.69
1997-04-01,65.399,6.0,2.0,8.1,89.905,58.797,79.376,87.15,79.245
1997-07-01,65.925,3.3,2.4,5.8,90.449,59.628,79.555,86.44,79.392
1997-10-01,66.245,2.0,1.9,3.9,90.874,60.199,80.662,86.734,80.442
1998-01-01,66.858,3.8,2.5,6.3,91.431,61.129,81.282,86.858,81.061
1998-04-01,67.194,2.0,2.1,4.2,91.913,61.76,81.904,88.143,81.666
1998-07-01,68.109,5.6,0.6,6.1,92.041,62.688,82.043,88.307,81.867
1998-10-01,68.625,3.1,5.1,8.3,93.182,63.946,81.901,87.803,81.7
1999-01-01,69.578,5.7,-0.6,5.0,93.044,64.738,82.277,87.62,82.016
1999-04-01,69.832,1.5,2.2,3.7,93.554,65.331,82.315,87.212,82.057
1999-07-01,70.471,3.7,2.6,6.4,94.157,66.353,82.264,88.024,82.023
1999-10-01,71.512,6.0,1.7,7.8,94.549,67.614,82.657,87.696,82.457
2000-01-01,71.22,-1.6,1.9,0.2,94.991,67.653,85.712,90.513,85.706
2000-04-01,72.659,8.3,1.1,9.5,95.245,69.204,84.35,88.793,84.229
2000-07-01,72.59,-0.4,0.0,-0.4,95.238,69.133,86.008,90.679,85.935
2000-10-01,73.353,4.3,-1.5,2.7,94.876,69.594,85.649,90.57,85.541
2001-01-01,72.937,-2.2,-0.1,-2.4,94.851,69.181,88.065,91.416,87.934
2001-04-01,74.195,7.1,-3.9,3.0,93.923,69.686,87.052,91.224,86.812
2001-07-01,74.613,2.3,-4.7,-2.5,92.799,69.24,86.707,91.115,86.408
2001-10-01,75.555,5.1,-4.5,0.4,91.734,69.309,86.301,90.665,86.134
2002-01-01,77.135,8.6,-3.2,5.1,90.989,70.184,85.122,87.852,84.722
2002-04-01,77.259,0.6,0.8,1.5,91.177,70.443,85.503,86.981,85.361
2002-07-01,77.852,3.1,-1.4,1.6,90.85,70.728,85.262,85.747,85.142
2002-10-01,77.749,-0.5,0.6,0.1,90.989,70.743,85.532,85.709,85.446
2003-01-01,78.509,4.0,-2.0,1.9,90.53,71.074,85.21,84.864,85.123
2003-04-01,79.546,5.4,-1.3,4.0,90.24,71.782,85.519,85.544,85.495
2003-07-01,81.297,9.1,0.6,9.7,90.374,73.471,85.034,85.314,84.893
2003-10-01,82.063,3.8,1.9,5.8,90.803,74.516,85.48,86.901,85.29
2004-01-01,81.823,-1.2,1.8,0.6,91.202,74.624,85.355,84.968,85.366
2004-04-01,82.68,4.3,0.4,4.7,91.295,75.483,86.277,86.1,86.097
2004-07-01,83.067,1.9,2.3,4.2,91.811,76.264,87.398,87.404,87.292
2004-10-01,83.428,1.7,2.3,4.1,92.332,77.031,87.248,86.193,87.247
2005-01-01,84.324,4.4,1.1,5.5,92.586,78.073,86.872,84.891,86.842
2005-04-01,84.252,-0.3,2.1,1.7,93.058,78.403,87.508,84.79,87.505
2005-07-01,84.826,2.8,1.0,3.8,93.296,79.139,88.063,85.588,88.06
2005-10-01,84.831,0.0,2.6,2.6,93.9,79.656,88.529,85.12,88.56
2006-01-01,85.417,2.8,4.4,7.3,94.913,81.072,89.628,86.561,89.606
2006-04-01,85.323,-0.4,0.9,0.5,95.129,81.167,89.76,86.322,89.862
2006-07-01,85.156,-0.8,1.5,0.7,95.492,81.317,90.286,85.862,90.289
2006-10-01,85.708,2.6,1.9,4.6,95.942,82.23,91.156,86.413,91.119
2007-01-01,86.015,1.4,-0.2,1.2,95.893,82.483,92.929,86.691,92.873
2007-04-01,86.274,1.2,1.7,3.0,96.309,83.089,92.727,85.835,92.531
2007-07-01,87.029,3.5,-1.1,2.5,96.055,83.596,92.406,85.26,92.146
2007-10-01,87.715,3.2,-1.1,2.1,95.793,84.025,92.762,85.097,92.528
2008-01-01,87.137,-2.6,-1.4,-3.9,95.467,83.187,94.149,85.397,94.023
2008-04-01,88.159,4.8,-2.3,2.4,94.916,83.677,93.291,87.015,93.081
2008-07-01,88.373,1.0,-4.3,-3.4,93.872,82.958,94.045,89.335,93.818
2008-10-01,87.9,-2.1,-9.8,-11.7,91.474,80.406,95.66,93.178,95.562
2009-01-01,88.902,4.6,-10.3,-6.2,89.014,79.136,92.025,92.307,91.943
2009-04-01,90.943,9.5,-9.4,-0.8,86.833,78.968,92.325,92.858,92.25
2009-07-01,92.391,6.5,-4.9,1.3,85.747,79.223,91.569,89.653,91.537
2009-10-01,93.643,5.5,0.0,5.5,85.743,80.293,90.741,89.131,90.727
2010-01-01,93.744,0.4,1.7,2.1,86.108,80.721,89.821,85.863,89.76
2010-04-01,94.055,1.3,3.1,4.4,86.762,81.604,90.542,85.887,90.542
2010-07-01,94.663,2.6,1.9,4.5,87.168,82.515,90.497,85.894,90.498
2010-10-01,94.963,1.3,1.9,3.2,87.587,83.176,90.53,86.565,90.512
2011-01-01,94.263,-2.9,0.7,-2.2,87.739,82.705,92.827,86.929,92.918
2011-04-01,94.321,0.2,4.1,4.3,88.621,83.588,92.096,87.106,92.042
2011-07-01,94.147,-0.7,1.0,0.3,88.851,83.65,93.007,86.896,92.945
2011-10-01,94.6,1.9,3.8,5.8,89.687,84.844,91.185,86.501,91.13
2012-01-01,95.077,2.0,3.0,5.1,90.354,85.906,92.952,88.597,92.843
2012-04-01,95.572,2.1,0.5,2.6,90.471,86.465,93.003,89.332,92.846
2012-07-01,95.291,-1.2,2.3,1.1,90.992,86.707,93.357,89.508,93.108
2012-10-01,94.932,-1.5,2.3,0.8,91.519,86.881,96.165,90.06,95.86
2013-01-01,95.397,2.0,2.7,4.7,92.128,87.888,94.175,88.443,93.953
2013-04-01,95.16,-1.0,1.6,0.6,92.504,88.027,94.865,88.633,94.817
2013-07-01,95.837,2.9,1.6,4.5,92.876,89.01,93.964,88.741,93.938
2013-10-01,96.761,3.9,1.1,5.1,93.138,90.121,93.847,88.93,93.793
2014-01-01,95.957,-3.3,1.5,-1.8,93.496,89.716,96.481,90.884,96.389
2014-04-01,96.579,2.6,4.3,7.0,94.486,91.254,95.333,90.333,95.236
2014-07-01,97.406,3.5,3.2,6.8,95.241,92.771,95.026,91.035,94.938
2014-10-01,97.075,-1.4,4.1,2.7,96.203,93.389,96.37,92.933,96.299
2015-01-01,97.637,2.3,2.0,4.4,96.688,94.403,96.868,94.695,96.861
2015-04-01,98.117,2.0,1.1,3.1,96.954,95.128,97.24,95.172,97.237
2015-07-01,98.392,1.1,0.5,1.6,97.076,95.515,97.545,95.751,97.569
2015-10-01,97.787,-2.4,2.9,0.4,97.782,95.618,97.914,96.244,97.978
2016-01-01,98.205,1.7,1.0,2.8,98.03,96.27,97.557,95.536,97.597
2016-04-01,98.267,0.3,1.0,1.3,98.281,96.577,97.817,95.707,97.893
2016-07-01,98.603,1.4,2.0,3.4,98.761,97.382,97.9,96.316,97.979
2016-10-01,99.271,2.7,0.4,3.1,98.849,98.128,98.397,97.19,98.371
2017-01-01,99.432,0.7,1.4,2.1,99.195,98.631,99.174,98.633,99.192
2017-04-01,99.485,0.2,2.6,2.8,99.823,99.309,99.745,99.049,99.748
2017-07-01,100.294,3.3,0.9,4.2,100.05,100.344,100.242,100.782,100.222
2017-10-01,101.031,3.0,2.5,5.6,100.678,101.716,100.832,101.525,100.829
2018-01-01,101.359,1.3,2.4,3.7,101.265,102.641,101.096,102.439,101.104
2018-04-01,101.372,0.1,2.0,2.0,101.761,103.158,101.526,101.096,101.618
2018-07-01,101.668,1.2,1.8,3.0,102.206,103.911,102.224,101.989,102.314
2018-10-01,101.486,-0.7,1.3,0.5,102.529,104.053,102.709,103.215,102.836
2019-01-01,102.341,3.4,0.1,3.5,102.56,104.96,104.336,105.586,104.383
2019-04-01,102.97,2.5,1.3,3.8,102.882,105.937,103.735,106.661,103.755
2019-07-01,104.128,4.6,1.1,5.8,103.176,107.435,102.678,106.991,102.651
2019-10-01,105.102,3.8,-0.9,2.8,102.939,108.191,103.479,109.565,103.457
2020-01-01,104.679,-1.6,-5.8,-7.3,101.426,106.172,106.28,111.286,106.321
2020-04-01,109.773,20.9,-44.5,-32.9,87.551,96.107,107.381,120.565,107.332
2020-07-01,111.492,6.4,37.3,46.1,94.766,105.656,104.134,111.918,104.121
