date,Administration of Justice,Agriculture,Commerce and Housing Credit,Community and Regional Development,"Education, Training, Employment, and Social Services",Energy,General Government,"General Science, Space, and Technology",Health,Income Security,International Affairs,Medicare,National Defense,Natural Resources and Environment,Net Interest,Social Security,Total,Transportation,Undistributed Offsetting Receipts,Veterans Benefits and Services
2015-03-31,5720.26420548,1242.0387862999999,-6960.69777364,2034.85039291,9963.43175268,731.77577601,1623.71438844,2419.40493419,42535.71909487,47118.526751599995,4772.2209728,25577.1673911,49221.25681351,3256.6305968899997,15732.84444611,73880.6562474,287097.39783405,6944.02981885,-6425.39497882,7708.95821737
2015-04-30,4180.6919564400005,561.62687822,2081.18564557,1272.97492831,8489.08456833,707.26950894,1440.46781063,2243.6526599699996,39060.49704978,44907.6500055,2236.60506369,44714.874530580004,48150.22328172,2400.19294112,25120.85844254,74100.04838077001,315087.16235127003,5987.176203020001,-5987.49619483,13419.57869097
2015-05-31,4014.85870097,184.94934028999998,-12873.44250049,1451.44191022,7230.22105021,243.66809819,2143.44843087,2107.70005854,37661.79278673,37273.50655575,2330.97354415,45905.79035023,48237.08284811,2480.29251897,27535.339158759998,74490.47072330001,294771.10583673,7086.5057822,-5679.11082433,12945.617304059999
2015-06-30,4413.32123513,428.02490438,5025.935007720001,1643.26940969,16818.53206469,896.5280669199999,811.9328269299999,2886.22956217,42083.97163244,30957.86927584,3502.83292692,43895.07164143,49317.47562776,3139.97850144,22347.75305655,78873.99063539,291157.28935924,7915.39736775,-36738.528489870005,12937.70410596
2015-07-31,4390.41514835,521.6763286600001,616.28648704,1753.0570203099999,15939.43513526,777.57656517,918.96585773,2635.32012998,46671.207372879995,44727.25484421,2622.14034297,73841.63583011,51467.91030364,2867.88196425,27481.20841875,74550.83067708,374680.13358053,8851.187712219999,-6325.41023191,20371.553673830003
2015-08-31,5231.18543534,743.91918137,-311.24886265,2005.5320531199998,8496.65574135,-249.20842615,2474.44952642,2553.46909631,46147.1321292,27122.9701347,3375.89359986,24221.397489630002,40440.96320193,3247.2119795999997,25365.84409881,74687.48620813001,275257.35711838,8496.26823873,-6087.187619859999,7294.62391254
2015-09-30,4648.90989807,-1233.42813286,-15904.703268899999,1987.11337443,11697.48139276,1018.77023625,3156.05114991,2852.35668649,37972.68512363,36116.446268089996,6077.50798511,45088.84510076,55078.36708191,3681.1630652,-11344.06479669,74590.88534014,274412.30865186,10852.14023039,-5975.23128257,14051.01319974
2015-10-31,4489.11846601,7283.70388642,878.92355882,1558.6587983,5895.45065237,220.91294971000002,2436.8140496799997,2327.31407825,42420.70975759,37663.68195164,2329.36010627,75410.54005989,60443.27786583,2264.91742534,20004.9147409,74758.15226597,347578.33020365995,5756.223493189999,-19196.82588995,20632.48198743
2015-11-30,4310.16847636,6401.57065611,760.07527075,1650.08314689,7355.15269215,326.5183657,461.1028205,2424.50677746,37470.76347287,27813.08725668,4980.6891575399995,23354.5409054,43413.617847069996,3367.12341114,21368.59009141,74699.31967709,269520.71951356,8337.29056092,-5876.63457008,6903.1534976
2015-12-31,4790.56908347,3572.04722838,-4376.627971600001,1831.19429256,7518.4627455,846.99835823,1288.03217151,3136.1901210799997,43952.33489114,47152.65517075,4003.73721718,44002.42006793,56590.33292873,3435.54016592,21431.21443471,101628.7094512,364074.6566499,8395.02970063,-6225.0307106499995,21100.84730323
