date,GSPC_close,GSPC_volume,IXIC_close,IXIC_volume,DJI_close,DJI_volume,RUT_close,RUT_volume
1989-01-03,275.309998,128500000,378.600006,93660000,,,146.789993,128500000
1989-01-04,279.429993,149700000,382.799988,121270000,,,148.389999,149700000
1989-01-05,280.01001,174040000,383.799988,135040000,,,148.75,174040000
1989-01-06,280.670013,161330000,384.700012,123650000,,,149.830002,161330000
1989-01-09,280.980011,163180000,385.299988,109930000,,,149.600006,163180000
1989-01-10,280.380005,140420000,384.600006,113520000,,,149.229996,140420000
1989-01-11,282.01001,148950000,385.299988,115770000,,,149.270004,148950000
1989-01-12,283.170013,183000000,387.0,135430000,,,149.809998,183000000
1989-01-13,283.869995,132320000,387.100006,122860000,,,149.929993,132320000
1989-01-16,284.140015,117380000,387.399994,105160000,,,149.949997,117380000
1989-01-17,283.549988,143930000,386.100006,137760000,,,149.699997,143930000
1989-01-18,286.529999,187450000,388.899994,140520000,,,150.830002,187450000
1989-01-19,286.910004,192030000,391.100006,162300000,,,151.289993,192030000
1989-01-20,286.630005,166120000,391.700012,152070000,,,151.399994,166120000
1989-01-23,284.5,141640000,390.0,114020000,,,150.949997,141640000
1989-01-24,288.48999,189620000,392.0,132590000,,,151.440002,189620000
1989-01-25,289.140015,183610000,394.0,121590000,,,151.779999,183610000
1989-01-26,291.690002,212250000,397.100006,141680000,,,152.520004,212250000
1989-01-27,293.820007,254870000,398.0,176200000,,,152.919998,254870000
1989-01-30,294.98999,167830000,399.200012,123940000,,,153.020004,167830000
1989-01-31,297.470001,194050000,401.299988,137050000,,,153.850006,194050000
1989-02-01,297.089996,215640000,403.200012,152890000,,,154.380005,215640000
1989-02-02,296.839996,183430000,405.200012,163790000,,,154.940002,183430000
1989-02-03,296.970001,172980000,406.399994,143350000,,,155.690002,172980000
1989-02-06,296.040009,150980000,406.0,128290000,,,155.580002,150980000
1989-02-07,299.630005,217260000,409.200012,156910000,,,156.839996,217260000
1989-02-08,298.649994,189420000,408.0,152730000,,,157.0,189420000
1989-02-09,296.059998,224220000,406.399994,146680000,,,156.559998,224220000
1989-02-10,292.019989,173560000,402.399994,132730000,,,155.070007,173560000
1989-02-13,292.540009,143520000,401.299988,114490000,,,154.699997,143520000
1989-02-14,291.809998,150610000,402.0,132880000,,,154.979996,150610000
1989-02-15,294.23999,154220000,404.200012,123180000,,,155.559998,154220000
1989-02-16,294.809998,177450000,405.700012,149250000,,,156.289993,177450000
1989-02-17,296.76001,159520000,407.200012,114150000,,,157.070007,159520000
1989-02-21,295.980011,141950000,406.399994,115230000,,,156.770004,141950000
1989-02-22,290.910004,163140000,402.5,129520000,,,155.389999,163140000
1989-02-23,292.049988,150370000,403.100006,116860000,,,155.410004,150370000
1989-02-24,287.130005,160680000,400.0,122910000,,,154.25,160680000
1989-02-27,287.820007,139900000,398.899994,109400000,,,153.960007,139900000
1989-02-28,288.859985,147430000,399.700012,122210000,,,154.559998,147430000
1989-03-01,287.109985,177210000,399.799988,128730000,,,154.669998,177210000
1989-03-02,289.950012,161980000,402.5,129490000,,,155.679993,161980000
1989-03-03,291.179993,151790000,404.0,135990000,,,156.320007,151790000
1989-03-06,294.809998,168880000,406.299988,122210000,,,157.240005,168880000
1989-03-07,293.869995,172500000,406.200012,135930000,,,157.529999,172500000
1989-03-08,294.079987,167620000,406.399994,150140000,,,157.899994,167620000
1989-03-09,293.929993,143160000,405.700012,142060000,,,157.800003,143160000
1989-03-10,292.880005,146830000,405.899994,133370000,,,157.75,146830000
1989-03-13,295.320007,140460000,406.600006,118380000,,,157.979996,140460000
1989-03-14,295.140015,139970000,406.0,137610000,,,157.729996,139970000
1989-03-15,296.670013,167070000,407.0,141230000,,,158.330002,167070000
1989-03-16,299.440002,196040000,409.5,150680000,,,159.259995,196040000
1989-03-17,292.690002,242900000,402.200012,139350000,,,156.710007,242900000
1989-03-20,289.920013,151260000,398.5,119840000,,,155.300003,151260000
1989-03-21,291.329987,142010000,401.799988,123730000,,,156.160004,142010000
1989-03-22,290.48999,146570000,400.600006,136380000,,,156.029999,146570000
1989-03-23,288.980011,153750000,400.899994,149180000,,,156.009995,153750000
1989-03-27,290.570007,112960000,400.600006,98840000,,,155.880005,112960000
1989-03-28,291.589996,146420000,402.600006,112550000,,,156.570007,146420000
