date,A019RY,A253RY,A646RY,A255RY,A656RY
1989-01-01,0.86,0.53,0.5,-0.08,-0.09
1989-04-01,1.35,1.4,0.14,-0.13,-0.06
1989-07-01,0.44,0.22,0.15,0.23,-0.16
1989-10-01,-0.2,0.25,0.29,-0.69,-0.05
1990-01-01,0.25,1.25,0.31,-1.0,-0.31
1990-04-01,0.52,0.27,0.19,0.13,-0.06
1990-07-01,0.44,0.26,0.02,0.23,-0.08
1990-10-01,1.47,0.0,0.33,1.03,0.11
1991-01-01,0.69,0.69,-0.46,0.19,0.26
1991-04-01,0.65,0.6,0.78,-0.55,-0.19
1991-07-01,-0.21,0.64,0.27,-1.26,0.13
1991-10-01,-0.02,0.62,0.26,-0.78,-0.11
1992-01-01,0.44,0.67,0.05,-0.46,0.18
1992-04-01,-0.63,-0.01,0.04,-0.8,0.15
1992-07-01,0.19,0.84,-0.02,-0.67,0.03
1992-10-01,-0.77,0.21,-0.01,-0.86,-0.11
1993-01-01,-0.79,-0.12,0.21,-0.9,0.02
1993-04-01,-0.4,0.35,0.11,-0.77,-0.08
1993-07-01,-0.66,-0.21,0.11,-0.44,-0.11
1993-10-01,-0.45,1.14,0.09,-1.42,-0.25
1994-01-01,-0.63,0.02,0.36,-0.87,-0.13
1994-04-01,-0.3,1.07,0.23,-1.56,-0.03
1994-07-01,0.22,1.45,0.01,-1.26,0.03
1994-10-01,-0.32,0.67,0.26,-1.31,0.06
1995-01-01,-0.2,0.74,0.04,-0.72,-0.26
1995-04-01,0.15,0.4,0.18,-0.53,0.1
1995-07-01,1.67,1.3,0.52,-0.08,-0.08
1995-10-01,0.02,0.39,0.23,-0.45,-0.16
1996-01-01,-1.01,0.6,-0.07,-1.41,-0.13
1996-04-01,-0.33,0.41,0.32,-1.0,-0.06
1996-07-01,-1.17,0.66,-0.31,-1.33,-0.19
1996-10-01,1.71,1.71,0.92,-0.95,0.03
1997-01-01,-1.18,0.98,-0.14,-1.69,-0.32
1997-04-01,0.19,1.64,0.13,-1.51,-0.08
1997-07-01,-0.72,0.91,0.13,-1.46,-0.3
1997-10-01,-1.1,-0.02,-0.04,-0.92,-0.13
1998-01-01,-1.61,0.2,0.01,-1.51,-0.32
1998-04-01,-1.59,-0.86,0.39,-0.96,-0.16
1998-07-01,-0.83,0.02,-0.21,-0.46,-0.19
1998-10-01,-0.01,1.31,0.22,-1.46,-0.08
