industry_code	naics_code	publishing_status	industry_name	display_level	selectable	sort_sequence
00000000	-	B	Total nonfarm	0	T	1
05000000	-	A	Total private	1	T	2
06000000	-	A	Goods-producing	1	T	3
07000000	-	B	Service-providing	1	T	4
08000000	-	A	Private service-providing	1	T	5
10000000	-	A	Mining and logging	2	T	6
10113300	1133	A	Logging	5	T	7
10210000	21	A	Mining, quarrying, and oil and gas extraction	3	T	8
10211000	211	A	Oil and gas extraction	4	T	9
10212000	212	A	Mining (except oil and gas)	4	T	10
10212100	2121	E	Coal mining	5	T	11
10212114	212114	C	Surface coal mining	7	T	12
10212115	212115	C	Underground coal mining	7	T	13
10212200	2122	E	Metal ore mining	5	T	14
10212300	2123	A	Nonmetallic mineral mining and quarrying	5	T	15
10212310	21231	A	Stone mining and quarrying	6	T	16
10212312	212312	E	Crushed and broken limestone mining and quarrying	7	T	17
10212319	212311,3,9	E	Dimension stone, crushed and broken granite, and other crushed and broken stone mining and quarrying	7	T	18
10212320	21232	C	Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying	6	T	19
10212321	212321	B	Construction sand and gravel mining	7	T	20
10212390	21239	E	Other nonmetallic mineral mining and quarrying	6	T	21
10213000	213	A	Support activities for mining	4	T	22
10213112	213112	A	Support activities for oil and gas operations	7	T	23
20000000	23	A	Construction	2	T	24
20236000	236	A	Construction of buildings	4	T	25
20236100	2361	A	Residential building construction	5	T	26
20236115	236115	A	New single-family housing construction (except for-sale builders)	7	T	27
20236116	236116	B	New multifamily housing construction (except for-sale builders)	7	T	28
20236117	236117	B	New housing for-sale builders	7	T	29
20236118	236118	A	Residential remodelers	7	T	30
20236200	2362	A	Nonresidential building construction	5	T	31
20236210	23621	A	Industrial building construction	6	T	32
20236220	23622	A	Commercial and institutional building construction	6	T	33
20237000	237	A	Heavy and civil engineering construction	4	T	34
20237100	2371	A	Utility system construction	5	T	35
20237110	23711	A	Water and sewer line and related structures construction	6	T	36
20237120	23712	A	Oil and gas pipeline and related structures construction	6	T	37
20237130	23713	A	Power and communication line and related structures construction	6	T	38
20237200	2372	E	Land subdivision	5	T	39
20237300	2373	A	Highway, street, and bridge construction	5	T	40
20237900	2379	E	Other heavy and civil engineering construction	5	T	41
20238000	238	A	Specialty trade contractors	4	T	42
20238001	part 238	C	Residential specialty trade contractors	4	T	43
20238002	part 238	C	Nonresidential specialty trade contractors	4	T	44
20238100	2381	A	Foundation, structure, and building exterior contractors	5	T	45
20238101	part 2381	C	Residential building foundation and exterior contractors	5	T	46
20238102	part 2381	C	Nonresidential building foundation and exterior contractors	5	T	47
20238110	23811	A	Poured concrete foundation and structure contractors	6	T	48
20238120	23812	A	Structural steel and precast concrete contractors	6	T	49
20238130	23813	A	Framing contractors	6	T	50
20238140	23814	A	Masonry contractors	6	T	51
20238150	23815	A	Glass and glazing contractors	6	T	52
20238160	23816	A	Roofing contractors	6	T	53
20238170	23817	E	Siding contractors	6	T	54
20238190	23819	E	Other foundation, structure, and building exterior contractors	6	T	55
20238200	2382	A	Building equipment contractors	5	T	56
20238201	part 2382	C	Residential building equipment contractors	5	T	57
20238202	part 2382	C	Nonresidential building equipment contractors	5	T	58
20238210	23821	A	Electrical contractors and other wiring installation contractors	6	T	59
20238220	23822	A	Plumbing, heating, and air-conditioning contractors	6	T	60
20238290	23829	A	Other building equipment contractors	6	T	61
20238300	2383	A	Building finishing contractors	5	T	62
20238301	part 2383	C	Residential building finishing contractors	5	T	63
20238302	part 2383	C	Nonresidential building finishing contractors	5	T	64
20238310	23831	A	Drywall and insulation contractors	6	T	65
20238320	23832	A	Painting and wall covering contractors	6	T	66
20238330	23833	A	Flooring contractors	6	T	67
20238340	23834	A	Tile and terrazzo contractors	6	T	68
20238350	23835	A	Finish carpentry contractors	6	T	69
20238390	23839	A	Other building finishing contractors	6	T	70
20238900	2389	A	Other specialty trade contractors	5	T	71
20238901	part 2389	C	Other residential trade contractors	5	T	72
20238902	part 2389	C	Other nonresidential trade contractors	5	T	73
20238910	23891	A	Site preparation contractors	6	T	74
20238990	23899	A	All other specialty trade contractors	6	T	75
30000000	-	AO	Manufacturing	2	T	76
31000000	-	AO	Durable goods	3	T	77
31321000	321	AO	Wood product manufacturing	4	T	78
31321100	3211	A	Sawmills and wood preservation	5	T	79
31321200	3212	A	Veneer, plywood, and engineered wood product manufacturing	5	T	80
31321900	3219	AO	Other wood product manufacturing	5	T	81
31321910	32191	AO	Millwork	6	T	82
31321911	321911	C	Wood window and door manufacturing	7	T	83
31321918	321912,8	C	Cut stock, resawing lumber, planing, and other millwork (including flooring)	7	T	84
31321920	32192	ET	Wood container and pallet manufacturing	6	T	85
31321990	32199	ET	All other wood product manufacturing	6	T	86
31327000	327	AO	Nonmetallic mineral product manufacturing	4	T	87
31327100	3271	C	Clay product and refractory manufacturing	5	T	88
31327200	3272	B	Glass and glass product manufacturing	5	T	89
31327212	327211,2	C	Flat and other pressed and blown glass and glassware manufacturing	7	T	90
31327215	327213,5	C	Glass product made of purchased glass and glass container manufacturing	7	T	91
31327300	3273	AO	Cement and concrete product manufacturing	5	T	92
31327320	32732	AO	Ready-mix concrete manufacturing	6	T	93
31327390	32731,3,9	AO	Cement and concrete pipe, brick, block, and other concrete product manufacturing	6	T	94
31327900	3274,9	GT	Lime, gypsum, and other nonmetallic mineral product manufacturing	5	T	95
31331000	331	AO	Primary metal manufacturing	4	T	96
31331100	3311	C	Iron and steel mills and ferroalloy manufacturing	5	T	97
31331200	3312	C	Steel product manufacturing from purchased steel	5	T	98
31331400	3313,4	C	Alumina, aluminum, and other nonferrous metal production and processing	5	T	99
31331500	3315	AO	Foundries	5	T	100
31331510	33151	C	Ferrous metal foundries	6	T	101
31331520	33152	C	Nonferrous metal foundries	6	T	102
31332000	332	AO	Fabricated metal product manufacturing	4	T	103
31332100	3321	AO	Forging and stamping	5	T	104
31332300	3323	AO	Architectural and structural metals manufacturing	5	T	105
31332310	33231	AO	Plate work and fabricated structural product manufacturing	6	T	106
31332312	332312	AO	Fabricated structural metal manufacturing	7	T	107
31332313	332311,3	C	Plate work and prefabricated metal building and component manufacturing	7	T	108
31332320	33232	AO	Ornamental and architectural metal products manufacturing	6	T	109
31332321	332321	C	Metal window and door manufacturing	7	T	110
31332322	332322	AO	Sheet metal work manufacturing	7	T	111
31332323	332323	C	Ornamental and architectural metal work manufacturing	7	T	112
31332400	3324	ET	Boiler, tank, and shipping container manufacturing	5	T	113
31332600	3325,6	C	Hardware, spring, and wire product manufacturing	5	T	114
31332700	3327	AO	Machine shops; turned product; and screw, nut, and bolt manufacturing	5	T	115
31332710	33271	AO	Machine shops	6	T	116
31332720	33272	AO	Turned product and screw, nut, and bolt manufacturing	6	T	117
31332800	3328	AO	Coating, engraving, heat treating, and allied activities	5	T	118
31332812	332811,2	AO	Metal heat treating, coating, engraving (except jewelry and silverware), and allied services to manufacturers	7	T	119
31332813	332813	AO	Electroplating, plating, polishing, anodizing, and coloring	7	T	120
31332900	3329	AO	Cutlery, handtool, and other fabricated metal product manufacturing	5	T	121
31332910	33291	E	Metal valve manufacturing	6	T	122
31332912	332912	C	Fluid power valve and hose fitting manufacturing	7	T	123
31332919	332911,3,9	C	Industrial valve, plumbing fixture fitting and trim, and other metal valve and pipe fitting manufacturing	7	T	124
31332990	33299	E	Cutlery, handtool, and all other fabricated metal product manufacturing	6	T	125
31332994	332992,3,4	C	Small arms, ammunition, and other ordnance and ordnance accessories manufacturing	7	T	126
31332999	332200;991,9	C	Cutlery, handtool, ball and roller bearing, fabricated pipe, pipe fitting, and all other fabricated metal product manufacturing	7	T	127
31333000	333	AO	Machinery manufacturing	4	T	128
31333100	3331	AO	Agriculture, construction, and mining machinery manufacturing	5	T	129
31333110	33311	C	Agricultural implement manufacturing	6	T	130
31333120	33312	C	Construction machinery manufacturing	6	T	131
31333130	33313	C	Mining and oil and gas field machinery manufacturing	6	T	132
31333200	3332	AO	Industrial machinery manufacturing	5	T	133
31333248	333248	AO	All other industrial machinery manufacturing	7	T	134
31333300	3333	AT	Commercial and service industry machinery manufacturing	5	T	135
31333400	3334	ET	Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing	5	T	136
31333415	333415	C	Air-conditioning and warm air heating equipment and commercial and industrial refrigeration equipment manufacturing	7	T	137
31333500	3335	AO	Metalworking machinery manufacturing	5	T	138
31333514	333514	AT	Special die and tool, die set, jig, and fixture manufacturing	7	T	139
31333517	333517	B	Machine tool manufacturing	7	T	140
31333519	333511,5,9	C	Industrial mold, cutting tool and machine tool accessory, rolling mill, and other metalworking machinery manufacturing	7	T	141
31333600	3336	AO	Engine, turbine, and power transmission equipment manufacturing	5	T	142
31333900	3339	ET	Other general purpose machinery manufacturing	5	T	143
31333910	33391	C	Pump and compressor manufacturing	6	T	144
31333920	33392	E	Material handling equipment manufacturing	6	T	145
31333990	33399	C	All other general purpose machinery manufacturing	6	T	146
31334000	334	AO	Computer and electronic product manufacturing	4	T	147
31334100	3341	C	Computer and peripheral equipment manufacturing	5	T	148
31334200	3342	A	Communications equipment manufacturing	5	T	149
31334220	33422	C	Radio and television broadcasting and wireless communications equipment manufacturing	6	T	150
31334400	3344	AO	Semiconductor and other electronic component manufacturing	5	T	151
31334412	334412	C	Bare printed circuit board manufacturing	7	T	152
31334413	334413	E	Semiconductor and related device manufacturing	7	T	153
31334418	334418	C	Printed electronic circuit assembly manufacturing	7	T	154
31334419	334416,7,9	AO	Capacitor, resistor, coil, transformer, other inductor, electronic connector, and other electronic component manufacturing	7	T	155
31334500	3345	AO	Navigational, measuring, electromedical, and control instruments manufacturing	5	T	156
31334510	334510	C	Electromedical and electrotherapeutic apparatus manufacturing	7	T	157
31334511	334511	C	Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing	7	T	158
31334513	334513	C	Instruments and related products manufacturing for measuring, displaying, and controlling industrial process variables	7	T	159
31334515	334515	C	Instrument manufacturing for measuring and testing electricity and electrical signals	7	T	160
31334519	334512,4,6-9	C	Miscellaneous electronic instruments manufacturing	7	T	161
