date,Total,White,Black,Other,Hispanic
1994-01-01,63.8,69.8,42.1,50.1,40.3
1994-04-01,63.8,69.9,41.8,46.3,41.1
1994-07-01,64.1,70.0,42.7,46.9,41.1
1994-10-01,64.2,70.2,42.6,47.6,42.2
1995-01-01,64.2,70.0,42.7,46.9,41.4
1995-04-01,64.7,70.2,42.6,47.6,42.2
1995-07-01,65.0,70.4,41.2,47.2,41.8
1995-10-01,65.13,70.9,42.2,46.7,42.8
1996-01-01,65.1,71.4,43.8,50.9,41.4
1996-04-01,65.4,71.7,43.7,50,43.9
1996-07-01,65.6,71.8,44.5,51.5,43.5
1996-10-01,65.4,71.8,44.4,51.4,42.3
1997-01-01,65.4,71.6,44.5,51.8,42.6
1997-04-01,65.7,72.1,44.4,52.7,43.3
1997-07-01,66.0,72.3,45.3,53.1,43.0
1997-10-01,65.7,71.9,45.1,52.5,44.0
1998-01-01,65.9,72.1,45.2,52.3,44.4
1998-04-01,66.0,72.5,44.7,53.5,43.9
1998-07-01,66.8,73.1,46.6,53.6,44.9
1998-10-01,66.4,72.6,45.9,52.7,45.73
1999-01-01,66.7,72.8,46.3,52.8,46.2
1999-04-01,66.6,73.2,45.3,53.2,44.9
1999-07-01,67.0,73.5,46.6,54.5,45.5
1999-10-01,66.9,73.3,46.8,54.3,45.5
2000-01-01,67.1,73.4,47.4,53.6,45.7
2000-04-01,67.2,73.7,46.7,54.4,45.4
2000-07-01,67.7,74.3,46.8,53.9,46.7
2000-10-01,67.5,73.9,47.8,52.4,47.5
2001-01-01,67.5,74.0,47.5,53.9,46.1
2001-04-01,67.7,74.1,47.9,55.2,46.1
2001-07-01,68.1,74.6,47.5,54.4,48.1
2001-10-01,68.0,74.4,48.1,53.2,48.8
2002-01-01,67.8,74.6,48.2,53.5,46.4
2002-04-01,67.6,74.5,46.5,55.3,46.1
2002-07-01,68.0,74.9,47.3,54,47.1
2002-10-01,68.3,75.0,47.7,55.2,48.3
2003-01-01,68.0,75.0,47.7,55.7,46.7
2003-04-01,68.0,75.2,47.3,55.3,46.2
2003-07-01,68.4,75.7,48.0,56.2,46.1
2003-10-01,68.6,75.5,49.4,56.6,47.7
2004-01-01,68.6,75.5,49.3,58.2,47.3
2004-04-01,69.2,76.2,49.7,58.7,47.4
2004-07-01,69.0,76.1,48.4,58.6,48.7
2004-10-01,69.2,76.2,49.1,58.9,48.9
2005-01-01,69.1,76.0,48.8,59.4,49.7
