date,RBUSBIS
1994-01-01,88.67
1994-02-01,88.18
1994-03-01,88.27
1994-04-01,88.19
1994-05-01,87.43
1994-06-01,87.12
1994-07-01,85.94
1994-08-01,85.71
1994-09-01,84.74
1994-10-01,84.06
1994-11-01,84.25
1994-12-01,86.11
1995-01-01,88.01
1995-02-01,87.24
1995-03-01,86.01
1995-04-01,82.6
1995-05-01,82.16
1995-06-01,82.21
1995-07-01,82.18
1995-08-01,84.23
1995-09-01,85.21
1995-10-01,85.22
1995-11-01,86.17
1995-12-01,86.35
1996-01-01,86.79
1996-02-01,86.77
1996-03-01,86.82
1996-04-01,86.66
1996-05-01,86.77
1996-06-01,87.08
1996-07-01,87.13
1996-08-01,86.51
1996-09-01,86.82
1996-10-01,87.37
1996-11-01,86.96
1996-12-01,87.47
1997-01-01,88.21
1997-02-01,89.71
1997-03-01,90.56
1997-04-01,90.78
1997-05-01,89.47
1997-06-01,89.16
1997-07-01,90.11
1997-08-01,91.65
1997-09-01,91.79
1997-10-01,92.26
1997-11-01,93.78
1997-12-01,96.75
1998-01-01,99.15
1998-02-01,97.65
1998-03-01,97.24
1998-04-01,97.06
1998-05-01,97.77
1998-06-01,99.91
1998-07-01,100.35
1998-08-01,102.1
1998-09-01,100.36
1998-10-01,97.37
1998-11-01,97.06
1998-12-01,96.15
1999-01-01,96.2
1999-02-01,97.23
1999-03-01,98.43
1999-04-01,98.12
1999-05-01,97.87
1999-06-01,98.43
1999-07-01,98.75
1999-08-01,97.63
1999-09-01,96.99
1999-10-01,96.59
1999-11-01,96.8
1999-12-01,96.7
2000-01-01,96.52
2000-02-01,97.92
2000-03-01,98.51
2000-04-01,98.97
2000-05-01,101.31
2000-06-01,100.53
2000-07-01,100.73
2000-08-01,101.27
2000-09-01,102.31
2000-10-01,103.88
2000-11-01,104.39
2000-12-01,103.27
2001-01-01,103.73
2001-02-01,104.57
2001-03-01,106.28
2001-04-01,107.06
2001-05-01,106.91
2001-06-01,107.7
2001-07-01,108.01
2001-08-01,106.15
2001-09-01,106.58
2001-10-01,106.86
2001-11-01,107.38
2001-12-01,106.95
2002-01-01,108.06
2002-02-01,108.73
2002-03-01,108.48
2002-04-01,108.23
2002-05-01,106.72
2002-06-01,105.49
2002-07-01,104.07
2002-08-01,105.31
2002-09-01,105.81
2002-10-01,106.57
2002-11-01,105.21
2002-12-01,104.28
2003-01-01,102.91
2003-02-01,103.24
2003-03-01,103.11
2003-04-01,102.09
2003-05-01,98.45
2003-06-01,98.44
2003-07-01,99.51
2003-08-01,100.87
2003-09-01,99.76
2003-10-01,97.47
2003-11-01,96.77
2003-12-01,95.11
2004-01-01,93.75
2004-02-01,94.42
2004-03-01,95.67
