date,DPCERY,A006RY,A822RY,A019RY,A191RL
1989-01-01,1.19,2.43,-0.34,0.86,4.1
1989-04-01,1.19,-0.71,1.26,1.35,3.1
1989-07-01,2.46,-0.64,0.75,0.44,3.0
1989-10-01,1.11,-0.54,0.42,-0.2,0.8
1990-01-01,2.17,0.7,1.33,0.25,4.4
1990-04-01,0.77,0.03,0.13,0.52,1.5
1990-07-01,1.0,-1.29,0.13,0.44,0.3
1990-10-01,-1.96,-3.66,0.55,1.47,-3.6
1991-01-01,-1.0,-2.04,0.49,0.69,-1.9
1991-04-01,2.11,0.05,0.35,0.65,3.2
1991-07-01,1.27,1.21,-0.23,-0.21,2.0
1991-10-01,-0.12,2.15,-0.61,-0.02,1.4
1992-01-01,4.83,-1.16,0.77,0.44,4.9
1992-04-01,1.78,3.4,-0.14,-0.63,4.4
1992-07-01,2.77,0.5,0.55,0.19,4.0
1992-10-01,3.08,1.92,0.01,-0.77,4.2
1993-01-01,0.98,1.49,-1.01,-0.79,0.7
1993-04-01,2.35,0.39,0.01,-0.4,2.3
1993-07-01,2.88,-0.42,0.11,-0.66,1.9
1993-10-01,2.31,3.4,0.29,-0.45,5.5
1994-01-01,2.98,2.56,-0.97,-0.63,3.9
1994-04-01,2.05,3.39,0.4,-0.3,5.5
1994-07-01,1.98,-1.14,1.3,0.22,2.4
1994-10-01,2.83,2.81,-0.66,-0.32,4.7
1995-01-01,0.66,0.69,0.28,-0.2,1.4
1995-04-01,2.28,-1.5,0.26,0.15,1.2
1995-07-01,2.38,-0.41,-0.19,1.67,3.4
1995-10-01,1.82,1.69,-0.78,0.02,2.7
1996-01-01,2.41,1.12,0.51,-1.01,3.0
1996-04-01,2.85,3.37,0.96,-0.33,6.8
1996-07-01,1.58,3.21,0.01,-1.17,3.6
1996-10-01,2.08,-0.09,0.52,1.71,4.2
1997-01-01,2.74,1.43,-0.38,-1.18,2.6
1997-04-01,1.21,4.47,0.96,0.19,6.8
1997-07-01,4.4,1.07,0.34,-0.72,5.1
1997-10-01,3.09,1.13,0.37,-1.1,3.5
1998-01-01,2.63,3.29,-0.25,-1.61,4.1
1998-04-01,4.56,-0.46,1.25,-1.59,3.8
1998-07-01,3.42,1.96,0.56,-0.83,5.1
1998-10-01,3.81,2.38,0.45,-0.01,6.6
1999-01-01,2.69,2.09,0.52,-1.47,3.8
1999-04-01,4.0,0.03,0.27,-0.92,3.4
1999-07-01,2.99,2.14,0.88,-0.61,5.4
1999-10-01,3.91,2.14,1.14,-0.45,6.7
2000-01-01,3.99,-0.55,-0.51,-1.46,1.5
2000-04-01,2.54,4.69,0.73,-0.48,7.5
2000-07-01,2.52,-0.8,-0.3,-1.02,0.4
2000-10-01,2.31,0.16,0.44,-0.51,2.4
2001-01-01,0.94,-3.58,1.12,0.23,-1.3
2001-04-01,0.52,0.14,1.26,0.59,2.5
2001-07-01,0.9,-1.57,-0.08,-0.85,-1.6
2001-10-01,4.27,-3.56,1.21,-0.81,1.1
2002-01-01,0.58,2.14,1.29,-0.67,3.4
2002-04-01,1.34,1.23,0.58,-0.66,2.5
2002-07-01,1.86,-0.05,0.39,-0.57,1.6
2002-10-01,1.48,-0.01,0.57,-1.51,0.5
2003-01-01,1.31,0.56,0.06,0.15,2.1
2003-04-01,3.1,0.51,0.72,-0.71,3.6
2003-07-01,3.87,2.62,0.19,0.16,6.8
2003-10-01,1.88,2.43,0.47,-0.09,4.7
2004-01-01,2.53,0.17,0.35,-0.73,2.3
2004-04-01,1.49,2.91,0.21,-1.46,3.2
2004-07-01,3.18,1.18,0.15,-0.7,3.8
2004-10-01,3.07,1.59,-0.03,-0.48,4.2
2005-01-01,1.74,2.16,0.4,0.22,4.5
2005-04-01,2.97,-1.03,-0.04,0.06,2.0
2005-07-01,2.23,1.03,0.25,-0.34,3.2
2005-10-01,0.48,2.54,0.05,-0.77,2.3
2006-01-01,2.92,1.26,0.96,0.36,5.5
2006-04-01,1.38,-0.51,-0.03,0.15,1.0
2006-07-01,1.73,-0.33,-0.11,-0.69,0.6
2006-10-01,2.6,-1.55,0.64,1.73,3.4
2007-01-01,1.7,-0.58,0.12,-0.06,1.2
2007-04-01,0.73,0.8,0.71,0.33,2.6
2007-07-01,1.8,-0.77,0.36,1.04,2.4
2007-10-01,1.05,-0.89,0.61,1.69,2.5
2008-01-01,-0.4,-1.87,0.18,0.48,-1.6
2008-04-01,0.76,-1.26,0.69,2.12,2.3
2008-07-01,-2.06,-1.36,0.65,0.68,-2.1
2008-10-01,-2.31,-6.36,0.58,-0.37,-8.5
2009-01-01,-0.6,-7.18,0.95,2.25,-4.6
2009-04-01,-1.26,-3.15,1.23,2.51,-0.7
2009-07-01,1.88,-0.08,0.24,-0.59,1.5
2009-10-01,-0.28,4.75,0.16,-0.28,4.3
2010-01-01,1.56,1.28,-0.37,-0.46,2.0
2010-04-01,2.45,2.95,0.27,-1.73,3.9
2010-07-01,1.95,2.59,-0.59,-0.82,3.1
2010-10-01,1.67,-0.17,-0.52,1.11,2.1
2011-01-01,1.05,-1.1,-1.01,0.09,-1.0
2011-04-01,0.3,2.35,-0.55,0.64,2.7
2011-07-01,0.84,0.18,-1.16,-0.02,-0.2
2011-10-01,0.49,4.58,-0.05,-0.46,4.6
2012-01-01,1.97,1.31,-0.33,0.37,3.3
2012-04-01,0.48,1.46,-0.41,0.31,1.8
2012-07-01,0.55,0.29,-0.11,-0.02,0.7
2012-10-01,1.09,-0.57,-0.75,0.68,0.4
2013-01-01,1.48,2.42,-0.68,0.3,3.5
2013-04-01,0.42,0.75,-0.12,-0.49,0.6
2013-07-01,1.02,2.6,-0.4,-0.01,3.2
2013-10-01,2.15,0.27,-0.58,1.04,2.9
2014-01-01,1.01,-0.74,-0.3,-1.36,-1.4
2014-04-01,2.53,2.9,0.1,-0.29,5.2
2014-07-01,2.67,1.46,0.49,0.12,4.7
2014-10-01,3.0,0.08,-0.04,-1.24,1.8
2015-01-01,1.82,2.45,0.37,-1.34,3.3
2015-04-01,1.83,0.23,0.61,-0.32,2.3
2015-07-01,2.05,-0.13,0.32,-0.95,1.3
2015-10-01,1.35,-0.82,0.26,-0.2,0.6
2016-01-01,1.98,-0.3,0.75,-0.06,2.4
2016-04-01,1.37,-0.35,-0.11,0.3,1.2
2016-07-01,1.59,0.14,0.36,0.33,2.4
2016-10-01,1.32,1.72,0.15,-1.19,2.0
2017-01-01,1.92,-0.36,-0.18,0.35,1.7
2017-04-01,1.1,1.21,0.13,-0.4,2.0
2017-07-01,1.64,1.38,-0.01,0.35,3.4
2017-10-01,2.99,0.93,0.55,-0.39,4.1
2018-01-01,1.8,1.06,0.13,-0.18,2.8
2018-04-01,1.98,0.14,0.49,0.2,2.8
2018-07-01,1.73,2.2,0.46,-1.47,2.9
2018-10-01,1.18,-0.04,0.02,-0.43,0.7
2019-01-01,0.26,0.72,0.83,0.37,2.2
2019-04-01,1.73,0.44,0.92,-0.37,2.7
2019-07-01,2.27,0.48,0.58,0.28,3.6
2019-10-01,1.55,-1.48,0.41,1.3,1.8
2020-01-01,-4.25,-0.88,0.57,-0.05,-4.6
2020-04-01,-23.07,-9.65,1.57,1.3,-29.9
2020-07-01,26.34,12.69,-0.97,-2.74,35.3
2020-10-01,2.53,3.07,-0.01,-1.68,3.9
2021-01-01,6.98,-0.82,1.18,-1.02,6.3
2021-04-01,7.84,0.3,-0.54,-0.6,7.0
2021-07-01,1.98,1.78,-0.02,-1.08,2.7
2021-10-01,2.14,5.14,-0.16,-0.16,7.0
2022-01-01,0.91,0.98,-0.4,-3.13,-1.6
2022-04-01,1.38,-2.83,-0.29,1.16,-0.6
2022-07-01,1.54,-1.8,0.65,2.86,3.2
2022-10-01,0.7,0.79,0.65,0.42,2.6
2023-01-01,2.79,-2.22,0.85,0.58,2.0
2023-04-01,1.14,0.57,0.58,-0.22,2.1
