date,A822RY,A823RY,A824RY,A997RY,A788RY,A825RY,A542RY,A798RY,A829RY,A991RY,A799RY,A191RL
1989-01-01,0.4,-0.005,-0.14,-0.0825,-0.06,0.1325,0.1125,0.0225,0.405,0.29,0.115,4.325
1989-04-01,0.6425,0.255,0.0175,0.0925,-0.0775,0.235,0.1975,0.04,0.3875,0.305,0.0825,3.75
1989-07-01,0.8225,0.375,0.1425,0.1225,0.02,0.23,0.195,0.0375,0.4425,0.325,0.1175,3.9
1989-10-01,0.5225,0.06,-0.095,-0.0275,-0.0675,0.1525,0.1,0.055,0.46,0.33,0.1275,2.75
1990-01-01,0.94,0.39,0.185,0.2025,-0.0175,0.205,0.1225,0.0825,0.545,0.3175,0.225,2.825
1990-04-01,0.6575,0.2075,0.025,-0.01,0.035,0.1825,0.1125,0.07,0.445,0.295,0.1475,2.425
1990-07-01,0.5025,0.085,-0.12,-0.1,-0.0225,0.2075,0.1475,0.06,0.415,0.2825,0.1275,1.75
1990-10-01,0.535,0.14,0.01,-0.0025,0.01,0.1325,0.09,0.04,0.395,0.2525,0.14,0.65
1991-01-01,0.325,0.09,0.03,0.1225,-0.095,0.0625,0.0375,0.0225,0.24,0.2175,0.02,-0.925
1991-04-01,0.38,0.1175,0.075,0.1425,-0.07,0.045,0.0,0.0425,0.2675,0.21,0.055,-0.5
1991-07-01,0.29,0.035,0.0075,0.1525,-0.145,0.0275,-0.03,0.055,0.26,0.1775,0.0825,-0.075
1991-10-01,0.0,-0.2125,-0.3225,-0.1,-0.2225,0.11,0.015,0.0975,0.215,0.1725,0.0425,1.175
1992-01-01,0.07,-0.2825,-0.4575,-0.335,-0.1225,0.1775,0.0925,0.085,0.35,0.1975,0.1525,2.875
1992-04-01,-0.0525,-0.34,-0.49,-0.3425,-0.1475,0.1525,0.1,0.0525,0.2875,0.205,0.0825,3.175
1992-07-01,0.1425,-0.085,-0.24,-0.1525,-0.0875,0.1575,0.1125,0.045,0.2275,0.2375,-0.01,3.675
1992-10-01,0.2975,0.16,-0.0175,-0.0225,0.0075,0.18,0.1425,0.0325,0.1375,0.2175,-0.08,4.375
1993-01-01,-0.1475,-0.17,-0.225,-0.0975,-0.125,0.055,0.015,0.0375,0.025,0.195,-0.1725,3.325
1993-04-01,-0.11,-0.2425,-0.275,-0.12,-0.1525,0.0325,-0.0025,0.0325,0.1325,0.16,-0.03,2.8
1993-07-01,-0.22,-0.405,-0.41,-0.2,-0.2075,0.005,-0.02,0.025,0.185,0.14,0.0425,2.275
1993-10-01,-0.1475,-0.3975,-0.3275,-0.1925,-0.135,-0.07,-0.0475,-0.02,0.25,0.1575,0.0875,2.625
1994-01-01,-0.1375,-0.395,-0.36,-0.2275,-0.1325,-0.035,0.0275,-0.06,0.2575,0.2,0.055,3.425
