date,Mortgage,HE Revolving,Auto Loan,Credit Card,Other,Total
1999-01-01,3.2,0.08,0.35,0.48,0.43,4.54
1999-04-01,3.31,0.08,0.35,0.48,0.41,4.630000000000001
1999-07-01,3.46,0.09,0.38,0.5,0.39,4.819999999999999
1999-10-01,3.37,0.1,0.39,0.5,0.4,4.760000000000001
2000-01-01,3.62,0.1,0.41,0.52,0.41,5.0600000000000005
2000-04-01,3.71,0.11,0.44,0.54,0.45,5.25
2000-07-01,3.82,0.1,0.46,0.53,0.43,5.34
2000-10-01,3.9,0.12,0.47,0.58,0.44,5.51
2001-01-01,4.08,0.12,0.51,0.6,0.45,5.76
2001-04-01,3.84,0.13,0.51,0.61,0.44,5.53
2001-07-01,4.17,0.14,0.52,0.63,0.43,5.89
2001-10-01,4.15,0.16,0.55,0.64,0.43,5.93
2002-01-01,4.45,0.17,0.58,0.63,0.43,6.26
2002-04-01,4.43,0.18,0.58,0.66,0.45,6.3
2002-07-01,4.74,0.2,0.61,0.68,0.46,6.69
2002-10-01,4.66,0.22,0.63,0.69,0.46,6.659999999999999
