date,CES0000000001,CES0500000001,CES0500000002,CES0500000003,CES0500000006,CES0500000007,CES0500000008,CES0500000016,CES0600000001,CES0600000002,CES0600000008,CES0800000001,CES0800000002,CES0800000008,CES1000000001,CES1000000008,CES2000000001,CES2000000008,CES3000000001,CES3000000008,CES4142000001,CES4142000008,CES4200000001,CES4200000008,CES4300000001,CES4300000008,CES4422000001,CES4422000008,CES5000000001,CES5000000008,CES5500000001,CES5500000008,CES6000000001,CES6000000008,CES6500000001,CES6500000008,CES7000000001,CES7000000008,CES9000000001,CES9091000001,CES9091622001,CES9091911001,CES9091912001,CES9092000001,CES9092161101,CES9092262201,CES9092292001,CES9093000001,CES9093161101,CES9093222101,CES9093248001,CES9093262201,CES9093292001,CEU0000000001,CEU0500000001,CEU0500000006,CEU0600000001,CEU0800000001,CEU1021100001,CEU1021100003,CEU1021200001,CEU1021200003,CEU1021300001,CEU1021300003,CEU2023600001,CEU2023600003,CEU2023700001,CEU2023700003,CEU2023800001,CEU2023800003,CEU3132100001,CEU3132100003,CEU3132700001,CEU3132700003,CEU3133100001,CEU3133100003,CEU3133200001,CEU3133200003,CEU3133300001,CEU3133300003,CEU3133400001,CEU3133400003,CEU3133500001,CEU3133500003,CEU3133600001,CEU3133600003,CEU3133700001,CEU3133700003,CEU3133900001,CEU3133900003,CEU3231100001,CEU3231100003,CEU3231300001,CEU3231300003,CEU3231400001,CEU3231400003,CEU3231500001,CEU3231500003,CEU3232200001,CEU3232200003,CEU3232300001,CEU3232300003,CEU3232400001,CEU3232500001,CEU3232500003,CEU3232600001,CEU3232600003,CEU3232900001,CEU4142300001,CEU4142300003,CEU4142400001,CEU4142400003,CEU4142500001,CEU4142500003,CEU4244100001,CEU4244100003,CEU4244400001,CEU4244400003,CEU4244500001,CEU4244500003,CEU4244900001,CEU4244900003,CEU4245500001,CEU4245500003,CEU4245600001,CEU4245600003,CEU4245700001,CEU4245700003,CEU4245800001,CEU4245800003,CEU4245900001,CEU4245900003,CEU4348100001,CEU4348100003,CEU4348200001,CEU4348300001,CEU4348400001,CEU4348400003,CEU4348500001,CEU4348500003,CEU4348600001,CEU4348700001,CEU4348800001,CEU4348800003,CEU4349200001,CEU4349200003,CEU4349300001,CEU4349300003,CEU4422000001,CEU4422000003,CEU5051200001,CEU5051200003,CEU5051300001,CEU5051300003,CEU5051600001,CEU5051600003,CEU5051700001,CEU5051700003,CEU5051800001,CEU5051800003,CEU5051900001,CEU5051900003,CEU5552100001,CEU5552200001,CEU5552200003,CEU5552300001,CEU5552300003,CEU5552400001,CEU5552400003,CEU5553100001,CEU5553100003,CEU5553200001,CEU5553200003,CEU5553300001,CEU6054000001,CEU6054000003,CEU6055000001,CEU6055000003,CEU6056100001,CEU6056100003,CEU6056200001,CEU6056200003,CEU6561000001,CEU6562100001,CEU6562100003,CEU6562200001,CEU6562200003,CEU6562300001,CEU6562300003,CEU6562400001,CEU6562400003,CEU7071100001,CEU7071100003,CEU7071200001,CEU7071200003,CEU7071300001,CEU7071300003,CEU7072100001,CEU7072100003,CEU7072200001,CEU7072200003,CEU8081100001,CEU8081100003,CEU8081200001,CEU8081200003,CEU8081300001,CEU8081300003,CEU9000000001
1988-01-01,      103753,       86388,,,       69859,        34.6,        9.29,,       23668,,       10.55,       62720,,        8.78,         784,       12.29,        5094,       12.44,       17790,        9.91,      5020.6,       10.49,     12581.6,        7.14,      3235.5,       11.80,       726.3,       14.82,        2549,       12.48,        6466,        8.88,        9884,       10.06,        9793,        8.79,        8664,        5.40,       17365,        3125,       251.2,       730.1,       823.2,        4022,      1601.4,       441.1,      1450.9,       10218,      5525.8,,,       612.3,,      102380,       85039,       68556,       23144,       61895,       196.7,,,,,,,,,,      2700.6,,,,       514.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       284.6,,,,,,,,,,,,,,       722.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1404.3,,,,,,,,,,       17341
1988-02-01,      104214,       86825,,,       70237,        34.7,        9.29,,       23769,,       10.53,       63056,,        8.78,         784,       12.30,        5162,       12.32,       17823,        9.92,      5044.1,       10.51,     12676.4,        7.14,      3248.4,       11.81,       723.9,       14.87,        2555,       12.49,        6472,        8.90,        9942,       10.07,        9838,        8.79,        8734,        5.40,       17389,        3119,       250.5,       726.1,       827.7,        4028,      1602.4,       443.1,      1457.3,       10242,      5537.1,,,       613.9,,      102951,       85291,       68778,       23136,       62155,       195.7,,,,,,,,,,      2671.8,,,,       513.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       284.6,,,,,,,,,,,,,,       717.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1422.1,,,,,,,,,,       17660
1988-03-01,      104489,       87042,,,       70400,        34.5,        9.31,,       23824,,       10.56,       63218,,        8.80,         779,       12.29,        5201,       12.31,       17844,        9.94,      5061.6,       10.55,     12707.5,        7.16,      3257.3,       11.72,       723.3,       14.99,        2563,       12.49,        6483,        8.90,        9973,       10.10,        9883,        8.82,        8727,        5.41,       17447,        3113,       249.5,       721.9,       829.7,        4042,      1607.4,       444.6,      1465.7,       10292,      5563.5,,,       615.5,,      103693,       85894,       69309,       23316,       62578,       195.6,,,,,,,,,,      2740.4,,,,       523.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       286.5,,,,,,,,,,,,,,       718.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1443.8,,,,,,,,,,       17799
1988-04-01,      104732,       87280,,,       70608,        34.6,        9.36,,       23880,,       10.62,       63400,,        8.85,         779,       12.33,        5227,       12.43,       17874,        9.99,      5078.4,       10.62,     12739.2,        7.18,      3264.0,       11.83,       723.0,       15.02,        2568,       12.57,        6489,        8.94,       10008,       10.13,        9938,        8.85,        8735,        5.45,       17452,        3107,       245.9,       721.0,       831.5,        4055,      1611.7,       445.9,      1473.3,       10290,      5568.3,,,       616.9,,      104587,       86798,       70147,       23639,       63159,       194.6,,,,,,,,,,      2885.1,,,,       535.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       290.9,,,,,,,,,,,,,,       718.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1472.2,,,,,,,,,,       17789
1988-05-01,      104962,       87481,,,       70751,        34.6,        9.41,,       23896,,       10.65,       63585,,        8.90,         776,       12.35,        5228,       12.45,       17892,       10.02,      5094.5,       10.66,     12779.9,        7.21,      3274.6,       11.89,       722.6,       15.10,        2575,       12.62,        6490,        9.04,       10048,       10.20,        9996,        8.92,        8732,        5.49,       17481,        3100,       243.2,       718.8,       831.7,        4067,      1617.6,       446.1,      1475.7,       10314,      5577.9,,,       618.9,,      105347,       87518,       70788,       23881,       63637,       194.5,,,,,,,,,,      2986.8,,,,       542.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       293.2,,,,,,,,,,,,,,       721.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1507.6,,,,,,,,,,       17829
1988-06-01,      105326,       87811,,,       71033,        34.6,        9.41,,       23951,,       10.68,       63860,,        8.90,         774,       12.35,        5261,       12.49,       17916,       10.04,      5115.4,       10.66,     12829.3,        7.22,      3286.6,       11.91,       722.5,       15.06,        2583,       12.64,        6499,        9.00,       10103,       10.19,       10095,        8.91,        8728,        5.49,       17515,        3099,       241.8,       715.6,       832.4,        4074,      1618.1,       446.6,      1485.6,       10342,      5592.7,,,       619.8,,      106208,       88617,       71771,       24253,       64364,       195.2,,,,,,,,,,      3094.8,,,,       550.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       296.1,,,,,,,,,,,,,,       730.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1609.8,,,,,,,,,,       17591
1988-07-01,      105550,       88056,,,       71237,        34.6,        9.45,,       23966,,       10.71,       64090,,        8.93,         770,       12.54,        5270,       12.56,       17926,       10.05,      5128.4,       10.71,     12868.8,        7.25,      3298.8,       11.91,       722.5,       15.08,        2585,       12.67,        6507,        9.06,       10146,       10.22,       10181,        8.94,        8740,        5.52,       17494,        3104,       239.0,       713.1,       833.9,        4084,      1622.5,       447.7,      1488.8,       10306,      5587.0,,,       620.0,,      105315,       88704,       71825,       24215,       64489,       196.3,,,,,,,,,,      3174.6,,,,       549.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       294.9,,,,,,,,,,,,,,       733.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1647.4,,,,,,,,,,       16611
1988-08-01,      105674,       88130,,,       71291,        34.5,        9.46,,       23926,,       10.72,       64204,,        8.96,         767,       12.47,        5268,       12.56,       17891,       10.07,      5140.1,       10.71,     12899.0,        7.25,      3304.1,       11.92,       722.4,       15.18,        2592,       12.67,        6505,        9.09,       10178,       10.26,       10263,        8.96,        8663,        5.52,       17544,        3119,       236.9,       712.6,       836.4,        4097,      1625.4,       447.2,      1497.9,       10328,      5570.5,,,       621.1,,      105477,       89004,       72119,       24371,       64633,       195.6,,,,,,,,,,      3197.5,,,,       549.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       293.6,,,,,,,,,,,,,,       732.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1650.8,,,,,,,,,,       16473
1988-09-01,      106013,       88379,,,       71488,        34.5,        9.51,,       23942,,       10.76,       64437,,        9.00,         758,       12.57,        5270,       12.61,       17914,       10.12,      5153.1,       10.77,     12913.2,        7.29,      3310.8,       11.96,       721.6,       15.18,        2601,       12.68,        6509,        9.14,       10220,       10.31,       10242,        9.03,        8804,        5.55,       17634,        3141,       235.7,       713.0,       838.4,        4102,      1631.2,       447.3,      1501.3,       10391,      5619.2,,,       621.2,,      106341,       88975,       72067,       24355,       64620,       192.9,,,,,,,,,,      3162.5,,,,       548.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       292.6,,,,,,,,,,,,,,       721.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1578.6,,,,,,,,,,       17366
1988-10-01,      106276,       88606,,,       71684,        34.7,        9.56,,       23987,,       10.81,       64619,,        9.07,         759,       12.67,        5262,       12.63,       17966,       10.16,      5166.1,       10.87,     12907.4,        7.32,      3322.2,       11.99,       722.3,       15.25,        2609,       12.74,        6517,        9.29,       10255,       10.41,       10273,        9.11,        8869,        5.57,       17670,        3153,       233.6,       715.2,       842.7,        4107,      1631.5,       448.0,      1505.7,       10410,      5634.0,,,       621.6,,      107013,       89119,       72200,       24333,       64786,       192.3,,,,,,,,,,      3143.6,,,,       547.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       291.3,,,,,,,,,,,,,,       720.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1536.3,,,,,,,,,,       17894
