Series Description,Households and nonprofit organizations, net worth ,Households and nonprofit organizations, total assets,Households and nonprofit organizations, net worth .1,Households and nonprofit organizations, total liabilities,Households and nonprofit organizations, net saving less net capital transfers paid including consumer durables and government insurance and pension fund reserves ,Households and nonprofit organizations, holding gains on assets at market value,Households and nonprofit organizations, total other volume changes (IMA)
Unit:,Currency,Currency,Currency,Currency,Currency,Currency,Currency,,,,,,,
Multiplier:,1000000,1000000,1000000,1000000,1000000,1000000,1000000,,,,,,,
Currency:,USD,USD,USD,USD,USD,USD,USD,,,,,,,
Unique Identifier: ,Z1/Z1/FC152090005.Q,Z1/Z1/FU152000005.Q,Z1/Z1/FU152090005.Q,Z1/Z1/FU154190005.Q,Z1/Z1/FU156006305.Q,Z1/Z1/FU158000005.Q,Z1/Z1/FU158090185.Q,,,,,,,
Time Period,FC152090005.Q,FU152000005.Q,FU152090005.Q,FU154190005.Q,FU156006305.Q,FU158000005.Q,FU158090185.Q,,,,,,,
1988Q1,509647,207614,173578,34036,106664,109146,107194,,,,,,,
1988Q2,438430,193752,108249,85503,97659,136770,31621,,,,,,,
1988Q3,321731,227109,143902,83207,102975,159058,75731,,,,,,,
1988Q4,505491,246265,172000,74265,105800,144291,135917,,,,,,,
1989Q1,432682,141783,108069,33714,114364,78193,75547,,,,,,,
1989Q2,422139,161689,73788,87901,97401,103659,21164,,,,,,,
1989Q3,542556,188598,104778,83820,105960,103493,51642,,,,,,,
1989Q4,400262,262077,161233,100844,107350,158735,93943,,,,,,,
1990Q1,128903,226375,187859,38516,115144,162044,87546,,,,,,,
1990Q2,238213,184249,111658,72592,101518,165961,31763,,,,,,,
1990Q3,-167799,220981,157828,63152,104046,161886,92247,,,,,,,
1990Q4,440745,236982,170821,66161,101482,168505,94275,,,,,,,
1991Q1,591301,213651,187979,25672,107118,118746,106724,,,,,,,
1991Q2,46323,129671,64498,65173,93586,191159,-17526,,,,,,,
1991Q3,275441,172758,130778,41980,103713,168187,50080,,,,,,,
1991Q4,585746,235462,155430,80032,115922,184118,55011,,,,,,,
1992Q1,89614,249367,229465,19902,124551,236864,18838,,,,,,,
1992Q2,86273,138783,95085,43697,118500,154606,20533,,,,,,,
1992Q3,352274,258639,191209,67429,134630,249697,99449,,,,,,,
1992Q4,597845,224839,152041,72798,125918,189791,92359,,,,,,,
1993Q1,329309,154757,147124,7633,120944,182196,53605,,,,,,,
1993Q2,263939,181596,113712,67883,107934,160663,15809,,,,,,,
1993Q3,395817,227535,141049,86487,109447,202516,53333,,,,,,,
1993Q4,432119,213335,122021,91314,115027,190587,54558,,,,,,,
1994Q1,156342,291748,259858,31890,112857,274639,162732,,,,,,,
1994Q2,183018,204232,119218,85014,98270,227486,37688,,,,,,,
1994Q3,357382,205932,117228,88703,108812,162061,36679,,,,,,,
1994Q4,213302,224682,104705,119977,119662,173644,29129,,,,,,,
1995Q1,566835,206146,176305,29841,124964,121916,85534,,,,,,,
1995Q2,557745,199144,107319,91825,102137,103835,25241,,,,,,,
1995Q3,642230,226622,113289,113332,116531,187354,32610,,,,,,,
1995Q4,717487,269610,175116,94494,119081,175430,152856,,,,,,,
1996Q1,607368,303871,245997,57874,121862,152580,145126,,,,,,,
1996Q2,432061,211694,111325,100369,105450,197296,51495,,,,,,,
1996Q3,300653,188419,90013,98406,120511,113207,1342,,,,,,,
1996Q4,801703,281397,181293,100104,121645,168713,118145,,,,,,,
1997Q1,330892,156954,115054,41899,124879,76415,11298,,,,,,,
1997Q2,1378115,206409,110177,96232,110064,143803,15163,,,,,,,
1997Q3,1122059,247508,126639,120869,122774,148000,24791,,,,,,,
1997Q4,545820,258575,162203,96372,131822,128352,86234,,,,,,,
1998Q1,1707786,259904,203056,56848,150103,140005,118325,,,,,,,
1998Q2,616288,321939,181627,140311,135008,247942,100957,,,,,,,
1998Q3,-682452,289426,172680,116746,147605,129053,96316,,,,,,,
1998Q4,2126849,288720,141495,147225,148999,62639,50581,,,,,,,
1999Q1,423953,173553,86193,87360,152409,81369,8766,,,,,,,
1999Q2,1040210,61181,-93933,155114,116446,51321,-152344,,,,,,,
1999Q3,-106907,171218,10733,160485,126437,5468,-42991,,,,,,,
1999Q4,2723427,242919,69176,173743,130285,-28986,53376,,,,,,,
2000Q1,1318248,272015,144162,127853,156222,9657,39956,,,,,,,
2000Q2,-300046,146563,-2827,149390,125977,113820,-70812,,,,,,,
2000Q3,788118,213304,41662,171642,146097,70846,-29321,,,,,,,
