date,RXI$US_N.B.AL,RXI$US_N.B.EU,RXI$US_N.B.NZ,RXI$US_N.B.UK,RXI_N.B.BZ,RXI_N.B.CA,RXI_N.B.CH,RXI_N.B.DN,RXI_N.B.HK,RXI_N.B.IN,RXI_N.B.JA,RXI_N.B.KO,RXI_N.B.MA,RXI_N.B.MX,RXI_N.B.NO,RXI_N.B.SD,RXI_N.B.SF,RXI_N.B.SI,RXI_N.B.SL,RXI_N.B.SZ,RXI_N.B.TA,RXI_N.B.TH,RXI_N.B.VES
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,0.8118,1.2015,0.7711,1.5361,2.6967,1.1725,6.2046,6.1954,7.7563,63.27,120.2,1103.73,3.515,14.806,7.5682,7.8986,11.699,1.3303,131.2,1.0004,31.74,32.94,6.2842
2015-01-05,0.8095,1.1918,0.7702,1.5234,2.7284,1.1785,6.2201,6.2426,7.7557,63.34,119.64,1109.07,3.532,14.97,7.6073,7.9253,11.7155,1.3354,131.2,1.0079,32.0,32.95,6.2842
2015-01-06,0.8118,1.1936,0.7805,1.5174,2.7013,1.1802,6.2125,6.2345,7.7532,63.57,118.26,1098.14,3.5555,14.8785,7.6975,7.8847,11.7005,1.3319,131.4,1.0062,31.98,32.86,6.2842
2015-01-07,0.8049,1.182,0.7727,1.5073,2.7,1.1851,6.2127,6.2948,7.7548,63.27,119.52,1101.51,3.58,14.7875,7.7123,7.9743,11.7075,1.3412,131.3,1.016,31.99,32.87,6.2842
2015-01-08,0.8126,1.1811,0.7826,1.5118,2.6635,1.1812,6.2143,6.2986,7.7553,62.67,119.51,1096.19,3.565,14.6095,7.6132,8.0142,11.553,1.336,131.5,1.0169,31.99,32.86,6.2842
2015-01-09,0.8191,1.183,0.7832,1.5151,2.6375,1.1857,6.2085,6.288,7.753,62.34,118.66,1086.14,3.561,14.5765,7.669,8.0521,11.485,1.3337,131.3,1.0151,31.89,32.85,6.2842
2015-01-12,0.8165,1.1832,0.7776,1.5168,2.6673,1.1929,6.2027,6.2871,7.7528,62.09,118.32,1083.25,3.566,14.637,7.7148,8.0684,11.526,1.3341,131.45,1.015,31.88,32.87,6.2842
2015-01-13,0.8164,1.1779,0.7732,1.5166,2.6366,1.1947,6.197,6.3147,7.7526,61.97,118.16,1080.42,3.592,14.5755,7.743,8.0718,11.51,1.334,131.4,1.0195,31.84,32.85,6.2842
2015-01-14,0.8163,1.1806,0.7746,1.5234,2.6145,1.1957,6.1957,6.3009,7.7544,62.09,116.78,1080.45,3.5925,14.574,7.6354,8.0543,11.4405,1.3332,131.4,1.0172,31.78,32.75,6.2842
2015-01-15,0.8212,1.1598,0.7791,1.5161,2.6324,1.1932,6.187,6.41,7.7534,62.06,116.95,1077.94,3.562,14.592,7.6475,8.1431,11.51,1.3291,131.4,0.893,31.65,32.75,6.2842
2015-01-16,0.8194,1.1517,0.7778,1.5132,2.6225,1.1986,6.2065,6.4521,7.7539,61.87,117.45,1076.68,3.557,14.611,7.5998,8.14,11.574,1.3264,131.25,0.8488,31.46,32.53,6.2842
2015-01-19,,,,,,,,,,,,,,,,,,,,,,,
