date,Total,Women,Men
1900-07-01,47.3,48.3,46.3
1901-07-01,49.1,50.6,47.6
1902-07-01,51.5,53.4,49.8
1903-07-01,50.5,52.0,49.1
1904-07-01,47.6,49.1,46.2
1905-07-01,48.7,50.2,47.3
1906-07-01,48.7,50.8,46.9
1907-07-01,47.6,49.9,45.6
1908-07-01,51.1,52.8,49.5
1909-07-01,52.1,53.8,50.5
1910-07-01,50.0,51.8,48.4
1911-07-01,52.6,54.4,50.9
1912-07-01,53.5,55.9,51.5
1913-07-01,52.5,55.0,50.3
1914-07-01,54.2,56.8,52.0
1915-07-01,54.5,56.8,52.5
1916-07-01,51.7,54.3,49.6
1917-07-01,50.9,54.0,48.4
1918-07-01,39.1,42.2,36.6
1919-07-01,54.7,56.0,53.5
1920-07-01,54.1,54.6,53.6
1921-07-01,60.8,61.8,60.0
1922-07-01,59.6,61.0,58.4
1923-07-01,57.2,58.5,56.1
1924-07-01,59.7,61.5,58.1
1925-07-01,59.0,60.6,57.6
1926-07-01,56.7,58.0,55.5
1927-07-01,60.4,62.1,59.0
1928-07-01,56.8,58.3,55.6
1929-07-01,57.1,58.7,55.8
1930-07-01,59.7,61.6,58.1
1931-07-01,61.1,63.1,59.4
1932-07-01,62.1,63.5,61.0
1933-07-01,63.3,65.1,61.7
1934-07-01,61.1,63.3,59.3
1935-07-01,61.7,63.9,59.9
1936-07-01,58.5,60.6,56.6
1937-07-01,60.0,62.4,58.0
1938-07-01,63.5,65.3,61.9
1939-07-01,63.7,65.4,62.1
1940-07-01,62.9,65.2,60.8
1941-07-01,64.8,66.8,63.1
1942-07-01,66.2,67.9,64.7
1943-07-01,63.3,64.4,62.4
1944-07-01,65.2,66.8,63.6
1945-07-01,65.9,67.9,63.6
1946-07-01,66.7,69.4,64.4
1947-07-01,66.8,69.7,64.4
1948-07-01,67.2,69.9,64.6
1949-07-01,68.0,70.7,65.2
1950-07-01,68.2,71.1,65.6
1951-07-01,68.4,71.4,65.6
1952-07-01,68.6,71.6,65.8
1953-07-01,68.8,72.0,66.0
1954-07-01,69.6,72.8,66.7
1955-07-01,69.6,72.8,66.7
1956-07-01,69.7,72.9,66.7
1957-07-01,69.5,72.7,66.4
1958-07-01,69.6,72.9,66.6
1959-07-01,69.9,73.2,66.8
1960-07-01,69.7,73.1,66.6
1961-07-01,70.2,73.6,67.1
1962-07-01,70.1,73.5,66.9
1963-07-01,69.9,73.4,66.6
1964-07-01,70.2,73.7,66.8
1965-07-01,70.2,73.8,66.8
1966-07-01,70.2,73.9,66.7
1967-07-01,70.5,74.3,67.0
1968-07-01,70.2,74.1,66.6
1969-07-01,70.5,74.4,66.8
1970-07-01,70.8,74.7,67.1
1971-07-01,71.1,75.0,67.4
1972-07-01,71.2,75.1,67.4
1973-07-01,71.4,75.3,67.6
1974-07-01,72.0,75.9,68.2
1975-07-01,72.6,76.6,68.8
1976-07-01,72.9,76.8,69.1
1977-07-01,73.3,77.2,69.5
1978-07-01,73.5,77.3,69.6
1979-07-01,73.9,77.8,70.0
1980-07-01,73.7,77.4,70.0
1981-07-01,74.1,77.8,70.4
1982-07-01,74.5,78.1,70.8
1983-07-01,74.6,78.1,71.0
1984-07-01,74.7,78.2,71.1
1985-07-01,74.7,78.2,71.1
1986-07-01,74.7,78.2,71.2
1987-07-01,74.9,78.3,71.4
1988-07-01,74.9,78.3,71.4
1989-07-01,75.1,78.5,71.7
1990-07-01,75.4,78.8,71.8
1991-07-01,75.5,78.9,72.0
1992-07-01,75.8,79.1,72.3
1993-07-01,75.5,78.8,72.2
1994-07-01,75.7,79.0,72.4
1995-07-01,75.8,78.9,72.5
1996-07-01,76.1,79.1,73.1
1997-07-01,76.5,79.4,73.6
1998-07-01,76.7,79.5,73.8
1999-07-01,76.7,79.4,73.9
2000-07-01,76.8,79.7,74.3
2001-07-01,77.0,79.5,74.3
2002-07-01,77.0,79.6,74.4
2003-07-01,77.6,79.7,74.5
2004-07-01,77.5,80.1,75.0
2005-07-01,77.6,80.1,75.0
2006-07-01,77.8,80.3,75.2
2007-07-01,78.1,80.6,75.5
2008-07-01,78.2,80.6,75.6
2009-07-01,78.5,80.9,76.0
2010-07-01,78.7,81.0,76.2
2011-07-01,78.7,81.1,76.3
2012-07-01,78.8,81.2,76.4
2013-07-01,78.8,81.2,76.4
2014-07-01,78.9,81.3,76.5
2015-07-01,78.7,81.1,76.3
2016-07-01,78.7,81.1,76.2
2017-07-01,78.6,81.1,76.1
2018-07-01,78.7,81.2,76.2
