"Real Value Added by Industry"
"[Billions of 2012 chain dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: September 30, 2020"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004"
"Line","","","","","","","","",""
"1","        Gross domestic product",11521.9,12038.3,12610.5,13131.0,13262.1,13493.1,13879.1,14406.4
"2","Private industries",9884.8,10358.4,10895.1,11384.0,11465.1,11669.1,12005.9,12499.3
"3","    Agriculture, forestry, fishing, and hunting",140.3,136.9,141.0,161.8,156.2,161.6,174.2,188.1
"4","        Farms",118.1,114.0,116.8,138.2,128.1,133.5,145.1,159.8
"5","        Forestry, fishing, and related activities",22.6,23.1,24.2,25.1,27.9,28.1,29.4,29.1
"6","    Mining",264.0,274.6,266.3,236.2,273.3,280.6,248.4,249.9
"7","        Oil and gas extraction",203.3,204.3,186.1,137.9,161.3,185.2,149.4,148.3
"8","        Mining, except oil and gas",77.0,89.6,95.1,93.7,90.7,83.1,84.6,81.7
"9","        Support activities for mining",15.4,14.5,14.0,19.0,28.4,22.0,23.8,27.7
"10","    Utilities",231.2,220.9,257.3,260.8,215.4,222.9,217.9,231.2
"11","    Construction",691.4,723.0,752.8,783.3,767.2,742.3,754.4,781.3
"12","    Manufacturing",1425.1,1483.7,1566.2,1678.8,1607.5,1621.5,1711.4,1832.2
"13","        Durable goods",582.5,630.4,674.4,753.1,704.5,719.4,772.8,828.3
"14","            Wood products",25.0,25.3,24.9,25.4,24.4,24.7,24.6,24.2
"15","            Nonmetallic mineral products",48.8,48.5,49.3,49.2,48.0,47.3,48.8,52.1
"16","            Primary metals",53.7,57.4,61.0,61.7,57.8,59.5,57.2,62.7
"17","            Fabricated metal products",148.0,144.6,146.0,156.0,139.0,132.9,138.5,144.2
"18","            Machinery",123.0,133.0,126.4,130.1,117.4,109.7,108.9,120.6
"19","            Computer and electronic products",28.8,36.7,45.1,67.6,64.8,70.6,90.7,106.1
"20","            Electrical equipment, appliances, and components",56.4,47.0,51.7,54.5,51.6,51.6,55.6,52.3
"21","            Motor vehicles, bodies and trailers, and parts",81.7,91.0,96.7,99.7,90.5,102.6,111.3,114.7
"22","            Other transportation equipment",95.2,98.3,104.4,95.4,97.2,91.0,86.8,89.0
"23","            Furniture and related products",36.4,36.9,38.5,40.1,35.9,35.2,34.4,37.0
"24","            Miscellaneous manufacturing",54.6,56.3,58.4,61.0,57.6,60.2,61.2,64.7
"25","        Nondurable goods",941.3,925.2,957.7,967.0,956.2,949.4,978.9,1046.4
"26","            Food and beverage and tobacco products",226.6,224.5,227.5,225.1,227.8,215.2,222.6,227.4
"27","            Textile mills and textile product mills",28.8,28.3,29.6,30.9,27.1,26.4,21.7,26.7
"28","            Apparel and leather and allied products",23.7,21.3,19.7,20.0,17.8,16.7,14.4,14.0
"29","            Paper products",77.1,71.6,75.4,71.0,61.6,63.5,62.3,66.5
"30","            Printing and related support activities",35.9,35.9,36.3,37.7,37.8,39.6,39.9,40.7
"31","            Petroleum and coal products",178.9,198.4,187.4,184.7,223.7,194.9,257.4,292.0
"32","            Chemical products",273.9,263.2,281.9,289.4,286.3,305.0,306.1,331.2
"33","            Plastics and rubber products",65.4,66.3,72.5,77.3,71.9,71.0,73.6,79.6
"34","    Wholesale trade",678.4,745.1,769.8,809.1,824.4,833.2,879.3,916.8
"35","    Retail trade",698.5,765.7,793.8,820.4,850.1,887.4,933.0,949.0
"36","        Motor vehicle and parts dealers",154.3,161.4,171.0,174.1,170.8,172.8,175.0,177.9
"37","        Food and beverage stores",159.0,168.7,167.2,166.2,168.2,167.1,165.7,160.7
"38","        General merchandise stores",81.6,88.9,93.6,100.5,106.3,119.2,134.6,141.8
"39","        Other retail",318.7,360.0,373.6,388.9,412.0,433.1,460.7,470.5
"40","    Transportation and warehousing",401.9,422.3,425.8,424.8,396.3,382.0,395.4,428.3
"41","        Air transportation",99.6,95.8,94.1,76.7,52.3,53.0,57.1,67.8
"42","        Rail transportation",35.4,37.5,39.2,41.6,40.3,36.3,39.5,41.6
"43","        Water transportation",6.1,5.6,4.6,4.9,4.7,3.4,3.4,3.9
"44","        Truck transportation",114.5,119.1,125.0,129.3,122.7,119.3,121.3,126.3
"45","        Transit and ground passenger transportation",26.2,27.0,30.2,31.4,31.1,30.8,31.7,32.4
"46","        Pipeline transportation",10.1,16.1,18.0,16.1,27.2,16.7,17.2,17.2
"47","        Other transportation and support activities",96.7,103.2,98.5,106.4,106.9,109.2,110.2,117.4
"48","        Warehousing and storage",22.8,26.6,25.7,27.4,26.0,26.4,28.2,33.0
"49","    Information",347.4,383.6,430.0,422.0,447.0,490.2,505.6,564.0
"50","        Publishing industries, except internet (includes software)",113.0,123.2,154.3,126.2,121.8,140.7,149.8,168.7
"51","        Motion picture and sound recording industries",34.5,42.2,51.2,45.4,53.6,59.3,58.5,63.1
"52","        Broadcasting and telecommunications",171.0,185.4,201.6,224.6,230.7,232.1,238.0,262.0
"53","        Data processing, internet publishing, and other information services",31.0,35.5,28.7,23.6,37.9,58.7,60.8,72.8
"54","    Finance, insurance, real estate, rental, and leasing",2103.1,2194.6,2331.5,2454.0,2590.5,2612.1,2643.3,2682.6
"55","        Finance and insurance",692.9,764.2,827.6,904.7,973.8,967.2,972.8,971.9
"56","            Federal Reserve banks, credit intermediation, and related activities",266.9,308.4,361.3,361.9,385.6,423.5,429.4,392.9
"57","            Securities, commodity contracts, and investments",126.3,128.3,137.2,173.2,243.6,213.5,186.6,185.4
"58","            Insurance carriers and related activities",275.0,297.5,293.9,341.4,318.9,298.1,318.7,355.4
"59","            Funds, trusts, and other financial vehicles",15.2,22.4,25.6,18.1,19.2,19.7,22.2,24.2
"60","        Real estate and rental and leasing",1415.1,1430.2,1502.4,1546.2,1613.1,1641.2,1666.7,1706.9
"61","            Real estate",1275.4,1273.9,1332.1,1373.8,1423.9,1457.5,1491.1,1540.2
"62","                Housing",1145.2,1167.8,1209.7,1248.1,1281.3,1287.7,1296.7,1343.9
"63","                Other real estate",150.0,134.6,148.0,152.3,165.9,185.8,204.2,207.8
"64","            Rental and leasing services and lessors of intangible assets",141.8,158.5,172.8,175.0,192.3,186.2,177.1,167.2
"65","    Professional and business services",1250.9,1308.7,1370.5,1451.2,1492.0,1509.7,1556.4,1594.8
"66","        Professional, scientific, and technical services",720.3,759.5,801.9,845.3,871.5,892.6,904.6,935.9
"67","            Legal services",214.8,222.9,229.7,236.8,243.1,244.0,253.0,255.9
"68","            Computer systems design and related services",57.0,69.2,79.0,86.0,89.7,87.4,97.3,109.4
"69","            Miscellaneous professional, scientific, and technical services",485.6,496.9,517.8,544.9,560.7,585.7,575.4,587.8
"70","        Management of companies and enterprises",256.1,262.1,263.0,277.3,288.6,286.0,295.5,278.6
"71","        Administrative and waste management services",287.2,298.9,315.0,337.9,342.6,341.0,365.6,384.4
"72","            Administrative and support services",254.9,265.3,279.2,301.7,305.6,303.1,326.5,346.0
"73","            Waste management and remediation services",32.8,34.1,36.3,36.3,37.2,38.3,39.3,38.5
