Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,pct99to100,16.6,15,7.8,14,35.9,3.1,10.5,28.3,18,4.8,4.5,3.5,16.2
1989:Q3,pct80to99,44,44.4,44.1,36.7,44.4,45.2,60.9,48.1,41.8,47,52,31.5,53.4
1989:Q3,pct60to80,16.4,17.8,20.4,23,10.8,23.9,14.5,9.3,16.7,26.7,25.6,31.6,18.5
1989:Q3,pct40to60,12.5,12.6,14.5,13.2,5.8,18.1,7.8,8.3,12.3,13.5,11.7,20.3,4.2
1989:Q3,pct20to40,7.6,7.4,9.7,9.1,2,6.8,5.5,4.3,8.4,6,5.1,8.9,3.8
1989:Q3,pct00to20,2.9,2.8,3.5,4,1.1,3,0.8,1.6,2.9,2,1.1,4.2,4
1989:Q4,pct99to100,16.7,15.1,7.8,14,35.4,3.2,10.7,28.6,18.1,5,4.7,3.4,17.8
1989:Q4,pct80to99,44,44.3,44.1,36.5,44.6,45,60.6,47.6,41.8,46.6,51.8,31.4,51.7
1989:Q4,pct60to80,16.5,17.8,20.4,22.9,10.8,24,15.1,9.5,16.5,26.6,25.6,31.3,18.1
1989:Q4,pct40to60,12.4,12.5,14.4,13.3,5.9,17.7,7.7,8.4,12.3,13.5,11.7,20.3,4.6
1989:Q4,pct20to40,7.6,7.4,9.6,9.2,2.1,7,5.2,4.2,8.4,6.1,5.1,9.4,3.9
1989:Q4,pct00to20,2.9,2.8,3.7,4.2,1.1,3,0.7,1.6,2.8,2.1,1.2,4.2,3.9
1990:Q1,pct99to100,16.5,15,7.9,13.5,34.3,3.3,10.8,29,18.2,5.1,4.9,3.1,18.9
1990:Q1,pct80to99,43.8,44.2,43.7,36.6,44.9,44.8,60.6,47.1,41.8,46.5,51.4,31.3,51.4
1990:Q1,pct60to80,16.6,17.9,20.4,22.8,11,24.2,15.5,9.7,16.4,26.4,25.5,30.9,17.2
1990:Q1,pct40to60,12.4,12.6,14.4,13.6,6.3,17.4,7.5,8.4,12.3,13.6,11.8,20.4,5.1
1990:Q1,pct20to40,7.7,7.5,9.7,9.3,2.4,7.2,4.9,4,8.4,6.1,5.1,9.6,3.9
1990:Q1,pct00to20,3,2.9,3.9,4.2,1.2,3,0.7,1.7,2.9,2.2,1.3,4.7,3.5
1990:Q2,pct99to100,16.6,15,8,13.5,33.8,3.4,10.9,29.3,18.2,5.3,5.1,3,20.2
1990:Q2,pct80to99,43.7,44.1,43.9,36.4,45.1,44.7,60.4,46.6,41.7,46.3,51.1,31.1,50.3
1990:Q2,pct60to80,16.7,18,20.4,22.7,11,24.4,16,9.9,16.4,26.2,25.4,30.5,16.8
1990:Q2,pct40to60,12.3,12.5,14.2,13.6,6.4,17.1,7.3,8.5,12.4,13.6,11.9,20.5,5.5
1990:Q2,pct20to40,7.6,7.4,9.6,9.4,2.5,7.4,4.6,3.9,8.4,6.2,5.1,10,3.9
1990:Q2,pct00to20,3.1,3,4,4.4,1.2,3,0.7,1.7,2.9,2.3,1.5,4.8,3.4
1990:Q3,pct99to100,16.2,14.7,8.1,12.9,31.6,3.5,11.1,29.7,18.4,5.4,5.2,2.9,22.1
1990:Q3,pct80to99,43.5,43.9,43.4,36.5,45.4,44.5,60.5,46.1,41.7,46,50.9,31,47.3
1990:Q3,pct60to80,16.9,18.2,20.4,22.7,11.6,24.5,16.3,10.2,16.3,26.1,25.3,30.2,17
