Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,Silent,17642580,5648622,4588052,1060570,11993958,2433384,309822,871920,745007,126913,277515,162988,114527,1707411,219472,274030,454999,3103469,2202946,138991,1267459,1257775,831942,308962,2354,114516,9684,16375121,48553376
1989:Q3,BabyBoom,5819220,3051282,2260997,790285,2767939,510450,52446,169718,124455,45263,16351,5874,10477,379142,137861,54773,228962,378316,754594,85324,1831800,1825637,1355515,445778,2171,22173,6164,3987420,39289625
1989:Q3,GenX,130957,89446,44121,45325,41511,12634,375,4833,4453,380,0,0,0,3891,2859,28,1229,545,12083,3034,53514,53386,23697,29467,7,215,128,77443,5177100
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,17901482,5721852,4654053,1067799,12179630,2443384,315041,880329,747500,132829,293340,175875,117466,1755104,225896,281011,472661,3153646,2217902,141317,1291053,1281024,848028,315459,2299,115238,10029,16610430,48581895
1989:Q4,BabyBoom,5992954,3100323,2292701,807622,2892631,539060,61448,172192,126439,45754,21163,10788,10374,393086,142130,59857,240236,410705,765436,87319,1876035,1869615,1386847,459552,2081,21135,6420,4116920,39314788
1989:Q4,GenX,151061,97725,47563,50162,53336,17604,748,5388,4828,560,0,0,0,3915,3606,172,2298,2716,13490,3400,60456,60255,25706,34274,10,265,200,90606,5366102
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,17961998,5735158,4643238,1091921,12226839,2433396,326222,873044,743585,129460,315490,194716,120773,1706223,229878,287895,478583,3202135,2228150,145824,1310289,1300443,874597,306308,2884,116654,9847,16651708,48563739
1990:Q1,BabyBoom,6031647,3137037,2316221,820816,2894610,546592,75881,170178,126194,43984,35753,25477,10277,327288,143985,64921,234904,430867,773463,90776,1911803,1905547,1429610,449417,2555,23965,6256,4119844,39352975
