Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Silent,80.1,74.8,66.6,55.9,81.7,89.1,71.9,74.2,81,40.2,37.6,39.4,80.4
1989:Q3,BabyBoom,19.5,24.7,32.8,41.7,18.1,10.9,28,25.4,18.5,58.1,61.3,56.8,19.4
1989:Q3,GenX,0.4,0.6,0.6,2.4,0.2,0,0.1,0.4,0.5,1.7,1.1,3.8,0.2
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,79.8,74.4,66.5,55.5,81.6,88.4,71.4,74,80.3,40,37.5,39,80.9
1989:Q4,BabyBoom,19.8,24.9,32.8,41.9,18.3,11.5,28.4,25.5,19.1,58.1,61.3,56.8,18.8
1989:Q4,GenX,0.4,0.6,0.7,2.6,0.2,0.1,0.2,0.5,0.6,1.9,1.1,4.2,0.3
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,79.8,74.4,66.2,55.5,83.9,88,71.8,73.9,79.7,39.8,37.4,38.7,79.5
1990:Q1,BabyBoom,19.7,25,33,41.7,16.1,11.8,28.1,25.6,19.6,58.1,61.2,56.7,20.1
1990:Q1,GenX,0.5,0.7,0.8,2.8,0,0.1,0.1,0.5,0.7,2.1,1.3,4.6,0.3
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,79.7,74.2,66.4,55,83.6,87.5,71.2,73.6,79.5,39.7,37.5,38.2,79.6
1990:Q2,BabyBoom,19.9,25.1,32.8,42,16.4,12.3,28.7,25.8,19.8,58,61,56.7,20
1990:Q2,GenX,0.5,0.7,0.7,3,0,0.2,0.1,0.5,0.7,2.3,1.5,5.1,0.4
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,79.9,74.3,65.9,55.1,90.9,87.2,72.6,73.4,78.9,39.5,37.3,37.7,82.5
1990:Q3,BabyBoom,19.5,24.9,33.3,41.8,9.1,12.5,27.4,26,20.2,58,61,56.6,17.1
1990:Q3,GenX,0.5,0.8,0.9,3.1,0,0.3,0.1,0.6,0.9,2.5,1.6,5.7,0.4
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,79.4,73.8,65.4,54.9,87.3,86.8,71.9,73.2,78.1,39.1,37,37.2,81
1990:Q4,BabyBoom,20,25.3,33.6,41.7,12.7,12.8,28,26.2,20.9,58.2,61.3,56.5,18.5
1990:Q4,GenX,0.6,0.9,1,3.3,0,0.3,0.1,0.7,1,2.7,1.7,6.3,0.5
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,78.8,73.3,65.3,54.4,83,86.4,71.1,73.2,77.6,38.8,36.7,36.7,80.5
1991:Q1,BabyBoom,20.5,25.7,33.6,42,17,13.1,28.7,26.1,21.3,58.4,61.6,56.4,18.9
1991:Q1,GenX,0.7,1,1.1,3.6,0,0.4,0.2,0.7,1.1,2.8,1.7,6.8,0.6
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q2,Silent,78.8,73.2,65.1,54.1,83.8,86,71.1,73.1,77.7,38.5,36.6,36.2,80.8
1991:Q2,BabyBoom,20.5,25.7,33.8,42.1,16.2,13.5,28.8,26.2,21.1,58.4,61.5,56.4,18.6
1991:Q2,GenX,0.7,1.1,1.1,3.9,0,0.5,0.2,0.7,1.2,3.1,1.9,7.5,0.6
1991:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q3,Silent,78.3,72.8,64.5,54.1,82.2,85.5,70.4,73,77.3,38.4,36.7,35.6,77.3
1991:Q3,BabyBoom,20.9,26.1,34.2,41.9,17.8,13.9,29.2,26.2,21.4,58.2,61.2,56.3,22.1
1991:Q3,GenX,0.8,1.2,1.3,4,0,0.6,0.4,0.7,1.3,3.4,2.1,8.1,0.6
1991:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q4,Silent,77.4,72,64.1,53.7,77.6,85.1,69.3,73.2,76.6,38.1,36.6,35,73.8
1991:Q4,BabyBoom,21.6,26.7,34.5,42,21.8,14.2,30,26.1,22,58.1,61,56.1,25.6
1991:Q4,GenX,1,1.3,1.5,4.3,0.6,0.7,0.7,0.7,1.4,3.7,2.4,8.9,0.6
1991:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q1,Silent,77.4,72,63.9,53,78.6,84.1,70,73.2,77.1,38.3,36.9,34.5,74.9
1992:Q1,BabyBoom,21.7,26.6,34.6,42.3,21.1,15.1,29.5,26.1,21.4,57.7,60.4,56,24.4
1992:Q1,GenX,1,1.4,1.6,4.7,0.4,0.8,0.5,0.8,1.4,4.1,2.7,9.5,0.7
1992:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q2,Silent,77.2,71.8,63.7,52.4,79,83.5,69.8,73.1,77,38.2,37,33.9,72.9
1992:Q2,BabyBoom,21.9,26.8,34.7,42.5,20.8,15.9,29.7,26.1,21.4,57.4,60,55.9,26.3
1992:Q2,GenX,0.9,1.4,1.6,5,0.2,0.6,0.5,0.8,1.5,4.4,3,10.2,0.7
1992:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q3,Silent,76.6,71.2,62.8,52.5,77.9,82.9,69,72.9,76.6,37.8,36.7,33.2,72.8
1992:Q3,BabyBoom,22.4,27.3,35.4,42.3,21.7,16.7,30.2,26.3,21.7,57.4,60,55.7,26.4
1992:Q3,GenX,1,1.5,1.8,5.2,0.4,0.4,0.7,0.8,1.7,4.8,3.3,11.1,0.8
1992:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q4,Silent,75.5,70.2,61.9,52.2,74.8,81.3,66.6,72.8,76.2,37.1,36.1,32.3,73.2
1992:Q4,BabyBoom,23.4,28.1,36.1,42.3,24.2,18.2,32.4,26.5,22,57.6,60.2,55.8,25.9
1992:Q4,GenX,1.1,1.7,2.1,5.6,1,0.5,1,0.8,1.8,5.3,3.7,11.8,0.9
1992:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q1,Silent,75,69.7,62,50.7,74.2,80.5,64.1,72.1,76.3,36.7,35.6,31.7,71.4
1993:Q1,BabyBoom,23.8,28.5,36,42.9,24.8,18.9,34.4,27,21.9,57.7,60.3,56,27.6
1993:Q1,GenX,1.2,1.8,2,6.3,1.1,0.6,1.5,0.8,1.8,5.7,4.1,12.3,1
1993:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q2,Silent,74.4,69.1,61.2,50.5,74.1,79.6,62.5,71.5,76,36,34.9,30.9,72
1993:Q2,BabyBoom,24.4,29,36.6,42.8,24.9,19.7,35.9,27.6,22.1,57.9,60.5,56.1,27
1993:Q2,GenX,1.2,1.9,2.2,6.8,1,0.7,1.6,0.9,1.9,6.2,4.6,13.1,1.1
1993:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q3,Silent,73.7,68.4,60.3,50.3,73.1,78.8,60.7,70.8,75.8,35.1,34.1,30,69.6
1993:Q3,BabyBoom,24.9,29.5,37.3,42.6,25.7,20.4,37.4,28.3,22.2,58.2,60.9,56.1,29.3
1993:Q3,GenX,1.4,2.1,2.4,7.1,1.2,0.8,1.9,0.9,2.1,6.7,5,13.9,1.1
1993:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q4,Silent,73.1,67.8,59.7,49.7,72.2,78.1,59.7,70.1,75.5,34.3,33.4,29.2,68.1
1993:Q4,BabyBoom,25.4,30,37.8,42.6,26.4,21,38.4,28.9,22.3,58.4,61.1,56.1,30.7
1993:Q4,GenX,1.4,2.2,2.5,7.7,1.4,0.9,1.9,1,2.1,7.3,5.5,14.7,1.2
1993:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q1,Silent,73,67.6,59.6,48.7,73.9,77.3,59,69.3,75.3,33.7,32.7,28.5,68.2
1994:Q1,BabyBoom,25.6,30.2,37.9,42.9,25.3,21.6,39.2,29.6,22.6,58.7,61.5,56.1,30.5
1994:Q1,GenX,1.4,2.3,2.5,8.4,0.9,1.1,1.8,1.1,2.2,7.6,5.8,15.4,1.3
1994:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q2,Silent,72.8,67.2,59.1,48.2,75.2,76.6,58,68.4,75.3,33.1,32.1,27.7,68
1994:Q2,BabyBoom,25.8,30.4,38.3,42.9,24.4,22.2,40,30.3,22.5,58.7,61.5,56.1,30.5
1994:Q2,GenX,1.3,2.3,2.6,8.9,0.4,1.2,1.9,1.2,2.1,8.3,6.4,16.2,1.5
1994:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q3,Silent,72.2,66.6,58.1,48,75.1,75.9,56.6,67.7,74.9,32.4,31.4,27,68.5
1994:Q3,BabyBoom,26.4,30.9,39,42.7,24.6,22.8,41.1,31,22.8,58.7,61.6,56,29.8
1994:Q3,GenX,1.4,2.5,2.9,9.3,0.3,1.3,2.3,1.3,2.2,8.9,7,17,1.7
1994:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q4,Silent,72,66.2,57.2,47.5,76.1,75.3,56.7,67,74.5,31.7,30.9,26.2,66.2
